"id_arrendatario","segmento_volumen","segmento_precio","segmento_experiencia","segmento_calidad","segmento_compuesto","num_propiedades","precio_promedio","calificacion_media","es_superanfitrion","antiguedad_anos","tiempo_respuesta_hrs"
40,"Pequeño","Estándar","Veterano","Básico","Pequeño Estándar Básico",1,14896,2.2,FALSE,7.98357289527721,48
41,"Mediano","Premium","Experimentado","Excelente","Mediano Premium Excelente",3,20427.6666666667,4.6,FALSE,2.4394250513347,2
42,"Mediano","Premium","Veterano","Muy bueno","Mediano Premium Muy bueno",3,26052.6666666667,4.3,FALSE,6.31622176591376,24
43,"Grande","Premium","Experimentado","Bueno","Grande Premium Bueno",4,20972.75,3.1,FALSE,1.98767967145791,48
44,"Grande","Premium","Veterano","Excelente","Grande Premium Excelente",4,21705.25,5,FALSE,5.54140999315537,4
45,"Grande","Premium","Veterano","Bueno","Grande Premium Bueno",4,25544.25,3.8,FALSE,6.83367556468172,4
46,"Mediano","Premium","Veterano","Básico","Mediano Premium Básico",2,25220,1.3,FALSE,3.79466119096509,12
47,"Grande","Estándar","Veterano","Excelente","Grande Estándar Excelente",4,15908.25,4.7,FALSE,5.46748802190281,8
48,"Pequeño","Estándar","Veterano","Excelente","Pequeño Estándar Excelente",1,14155,4.9,FALSE,4.145106091718,48
49,"Mediano","Estándar","Veterano","Muy bueno","Mediano Estándar Muy bueno",3,19545.3333333333,4.1,FALSE,6.02600958247776,1
50,"Grande","Premium","Veterano","Excelente","Grande Premium Excelente",4,24591.5,5,TRUE,4.88432580424367,8
51,"Mediano","Premium","Veterano","Básico","Mediano Premium Básico",2,30848.5,2.8,FALSE,3.67419575633128,4
52,"Mediano","Premium","Experimentado","Bueno","Mediano Premium Bueno",3,25544.3333333333,3.5,FALSE,2.2258726899384,24
53,"Pequeño","Lujo","Veterano","Básico","Pequeño Lujo Básico",1,37455,1.3,FALSE,6.82546201232033,2
54,"Grande","Estándar","Veterano","Básico","Grande Estándar Básico",5,17353.6,1.7,FALSE,6.39835728952772,24
55,"Mediano","Estándar","Veterano","Bueno","Mediano Estándar Bueno",3,16739.3333333333,3.1,FALSE,7.23066392881588,24
56,"Pequeño","Lujo","Veterano","Excelente","Pequeño Lujo Excelente",1,46505,4.6,FALSE,5.60711841204654,4
57,"Mediano","Estándar","Experimentado","Bueno","Mediano Estándar Bueno",3,14791,3.9,FALSE,2.44216290212183,24
58,"Mediano","Premium","Experimentado","Excelente","Mediano Premium Excelente",2,26813,4.7,TRUE,1.46201232032854,4
59,"Grande","Premium","Veterano","Básico","Grande Premium Básico",4,25322.5,1.8,FALSE,4.03011635865845,8
60,"Grande","Premium","Experimentado","Bueno","Grande Premium Bueno",5,32827.6,3.6,FALSE,1.16358658453114,2
61,"Muy grande","Lujo","Experimentado","Básico","Muy grande Lujo Básico",NA,NA,2,TRUE,1.33333333333333,12
62,"Muy grande","Premium","Experimentado","Bueno","Muy grande Premium Bueno",6,29989.1666666667,3.8,TRUE,1.25119780971937,8
63,"Pequeño","Premium","Veterano","Básico","Pequeño Premium Básico",1,25972,2.4,FALSE,5.60985626283368,8
64,"Mediano","Premium","Veterano","Excelente","Mediano Premium Excelente",2,27133.5,4.8,FALSE,7.50171115674196,12
65,"Mediano","Premium","Veterano","Muy bueno","Mediano Premium Muy bueno",2,30022,4.1,TRUE,3.20876112251882,4
66,"Pequeño","Premium","Veterano","Básico","Pequeño Premium Básico",1,20740,2.9,FALSE,5.55783709787817,2
67,"Pequeño","Premium","Veterano","Básico","Pequeño Premium Básico",1,28387,2.7,FALSE,6.34086242299795,2
68,"Grande","Estándar","Veterano","Bueno","Grande Estándar Bueno",5,12902.8,3.9,FALSE,5.14168377823409,2
69,"Pequeño","Estándar","Veterano","Muy bueno","Pequeño Estándar Muy bueno",1,12950,4.1,FALSE,7.13483915126626,8
70,"Muy grande","Premium","Experimentado","Básico","Muy grande Premium Básico",6,34995.5,2,FALSE,2.48323066392882,4
71,"Pequeño","Premium","Veterano","Básico","Pequeño Premium Básico",1,20170,2.3,FALSE,7.51266255989049,24
72,"Mediano","Estándar","Novato","Bueno","Mediano Estándar Bueno",3,19167.6666666667,4,FALSE,0.594113620807666,8
73,"Mediano","Estándar","Experimentado","Básico","Mediano Estándar Básico",2,16978.5,1.7,FALSE,2.69678302532512,1
74,"Grande","Premium","Veterano","Bueno","Grande Premium Bueno",5,24589.4,3.8,FALSE,4.07939767282683,4
75,"Pequeño","Lujo","Veterano","Excelente","Pequeño Lujo Excelente",1,52508,4.8,FALSE,4.63518138261465,24
76,"Pequeño","Económico","Experimentado","Excelente","Pequeño Económico Excelente",1,9271,4.7,FALSE,2.02053388090349,12
77,"Mediano","Estándar","Veterano","Básico","Mediano Estándar Básico",3,14269,2.7,FALSE,5.24298425735797,24
78,"Pequeño","Lujo","Veterano","Excelente","Pequeño Lujo Excelente",1,39820,5,FALSE,8.33675564681725,24
79,"Mediano","Lujo","Experimentado","Básico","Mediano Lujo Básico",3,36598.6666666667,3,TRUE,1.61533196440794,2
80,"Mediano","Estándar","Experimentado","Básico","Mediano Estándar Básico",3,16093.6666666667,3,TRUE,1.4757015742642,2
81,"Muy grande","Lujo","Veterano","Básico","Muy grande Lujo Básico",NA,NA,2.9,FALSE,5.22929500342231,24
82,"Mediano","Premium","Veterano","Bueno","Mediano Premium Bueno",2,25242.5,3.4,FALSE,3.68514715947981,8
83,"Mediano","Premium","Experimentado","Bueno","Mediano Premium Bueno",3,30046.6666666667,3.4,FALSE,1.21286789869952,1
84,"Mediano","Premium","Veterano","Básico","Mediano Premium Básico",2,22245.5,2.9,TRUE,7.66050650239562,24
85,"Mediano","Estándar","Veterano","Bueno","Mediano Estándar Bueno",3,13968.6666666667,3.7,TRUE,5.34976043805613,8
86,"Mediano","Estándar","Novato","Básico","Mediano Estándar Básico",2,14993.5,2.3,FALSE,0.91170431211499,2
87,"Mediano","Premium","Experimentado","Básico","Mediano Premium Básico",3,23766,2.4,FALSE,2.26420260095825,2
88,"Mediano","Premium","Experimentado","Básico","Mediano Premium Básico",2,30759.5,1.1,FALSE,2.41752224503765,2
89,"Grande","Premium","Veterano","Básico","Grande Premium Básico",4,32574.75,2.2,FALSE,7.44421629021218,12
90,"Mediano","Premium","Veterano","Muy bueno","Mediano Premium Muy bueno",2,21650,4.3,FALSE,5.94934976043806,24
91,"Grande","Premium","Veterano","Básico","Grande Premium Básico",4,33381.5,2,FALSE,5.21013004791239,2
92,"Mediano","Premium","Veterano","Básico","Mediano Premium Básico",3,25621.3333333333,1,FALSE,3.20602327173169,24
93,"Mediano","Lujo","Veterano","Básico","Mediano Lujo Básico",2,39578,1.3,TRUE,5.30869267624914,2
94,"Pequeño","Económico","Veterano","Bueno","Pequeño Económico Bueno",1,8880,3.7,TRUE,3.76180698151951,4
95,"Mediano","Estándar","Experimentado","Bueno","Mediano Estándar Bueno",3,17799.3333333333,3.3,TRUE,2.77891854893908,8
96,"Pequeño","Premium","Experimentado","Excelente","Pequeño Premium Excelente",1,27517,4.7,FALSE,1.69199178644764,12
97,"Mediano","Lujo","Veterano","Básico","Mediano Lujo Básico",3,36963.3333333333,1.8,FALSE,8.39698836413415,4
98,"Mediano","Estándar","Novato","Muy bueno","Mediano Estándar Muy bueno",3,16351.3333333333,4.4,FALSE,0.591375770020534,48
99,"Mediano","Estándar","Experimentado","Básico","Mediano Estándar Básico",2,17686.5,1.3,TRUE,2.28062970568104,2
100,"Mediano","Premium","Veterano","Básico","Mediano Premium Básico",3,20717,1.8,TRUE,3.44969199178645,24
101,"Mediano","Estándar","Veterano","Básico","Mediano Estándar Básico",3,14734.6666666667,1.2,FALSE,4.9555099247091,48
102,"Mediano","Premium","Experimentado","Básico","Mediano Premium Básico",2,34564.5,2.6,FALSE,1.32511978097194,8
103,"Muy grande","Premium","Veterano","Bueno","Muy grande Premium Bueno",6,24034.8333333333,3.5,FALSE,6.78439425051335,4
104,"Muy grande","Premium","Novato","Básico","Muy grande Premium Básico",6,32240.8333333333,1.2,FALSE,0.728268309377139,2
105,"Grande","Lujo","Veterano","Básico","Grande Lujo Básico",4,45375,2.8,FALSE,5.637234770705,24
106,"Grande","Premium","Veterano","Bueno","Grande Premium Bueno",5,24778.8,3.7,FALSE,4.49281314168378,1
107,"Mediano","Premium","Experimentado","Básico","Mediano Premium Básico",3,20117,2.6,FALSE,2.17932922655715,2
108,"Pequeño","Lujo","Veterano","Bueno","Pequeño Lujo Bueno",1,36468,3.1,FALSE,3.54004106776181,8
109,"Mediano","Premium","Veterano","Muy bueno","Mediano Premium Muy bueno",2,32693,4.4,FALSE,5.782340862423,48
110,"Mediano","Premium","Experimentado","Muy bueno","Mediano Premium Muy bueno",2,26910,4.1,TRUE,1.37987679671458,8
111,"Grande","Premium","Veterano","Bueno","Grande Premium Bueno",5,27601.2,3.9,TRUE,6.52977412731006,48
112,"Grande","Premium","Veterano","Básico","Grande Premium Básico",4,24206.5,2,TRUE,7.48528405201917,4
113,"Pequeño","Económico","Novato","Excelente","Pequeño Económico Excelente",1,9888,4.7,FALSE,0.63791923340178,2
114,"Mediano","Estándar","Veterano","Básico","Mediano Estándar Básico",2,14418,1.1,FALSE,4.40246406570842,4
115,"Mediano","Estándar","Veterano","Excelente","Mediano Estándar Excelente",3,19345.3333333333,4.7,FALSE,3.57837097878166,4
116,"Pequeño","Premium","Veterano","Básico","Pequeño Premium Básico",1,22043,1,FALSE,3.27173169062286,4
117,"Mediano","Premium","Veterano","Bueno","Mediano Premium Bueno",3,31528.3333333333,3.6,FALSE,3.7700205338809,2
118,"Mediano","Premium","Veterano","Muy bueno","Mediano Premium Muy bueno",3,27976.6666666667,4.4,FALSE,7.78918548939083,4
119,"Grande","Premium","Veterano","Básico","Grande Premium Básico",4,23492.5,1.7,FALSE,8.01368925393566,12
120,"Grande","Estándar","Veterano","Básico","Grande Estándar Básico",4,18371,2.7,FALSE,4.19438740588638,48
121,"Mediano","Estándar","Veterano","Bueno","Mediano Estándar Bueno",3,17071.3333333333,3.4,TRUE,3.95619438740589,24
122,"Mediano","Estándar","Veterano","Bueno","Mediano Estándar Bueno",3,18572.3333333333,3.7,FALSE,3.42505133470226,24
123,"Mediano","Estándar","Veterano","Básico","Mediano Estándar Básico",2,18938.5,1.5,FALSE,4.92813141683778,2
124,"Mediano","Premium","Veterano","Bueno","Mediano Premium Bueno",2,27214.5,3.9,FALSE,7.12936344969199,4
125,"Muy grande","Lujo","Novato","Muy bueno","Muy grande Lujo Muy bueno",NA,NA,4.2,FALSE,0.657084188911704,48
126,"Mediano","Premium","Veterano","Básico","Mediano Premium Básico",2,31836.5,1.5,FALSE,7.33744010951403,1
127,"Mediano","Premium","Novato","Excelente","Mediano Premium Excelente",2,23822,4.8,TRUE,0.654346338124572,2
128,"Grande","Estándar","Veterano","Básico","Grande Estándar Básico",5,16260,1.8,TRUE,6.51060917180014,4
129,"Mediano","Lujo","Veterano","Básico","Mediano Lujo Básico",2,57086.5,1.1,FALSE,3.23340177960301,2
130,"Mediano","Estándar","Veterano","Muy bueno","Mediano Estándar Muy bueno",2,17366,4.4,FALSE,3.14852840520192,2
131,"Mediano","Lujo","Veterano","Básico","Mediano Lujo Básico",2,39643.5,1.5,FALSE,8.02464065708419,4
132,"Mediano","Estándar","Veterano","Bueno","Mediano Estándar Bueno",3,17821.6666666667,3.9,FALSE,4.19438740588638,48
133,"Grande","Premium","Veterano","Bueno","Grande Premium Bueno",5,20872,3.1,FALSE,6.57905544147844,2
134,"Grande","Estándar","Veterano","Bueno","Grande Estándar Bueno",5,19008.2,3.5,FALSE,7.37029431895962,8
135,"Mediano","Premium","Veterano","Bueno","Mediano Premium Bueno",3,30875.6666666667,3.6,FALSE,3.46885694729637,1
136,"Muy grande","Premium","Veterano","Básico","Muy grande Premium Básico",7,25328.1428571429,3,FALSE,7.91238877481177,4
137,"Grande","Premium","Experimentado","Excelente","Grande Premium Excelente",4,26954,5,FALSE,1.90828199863107,12
138,"Grande","Premium","Experimentado","Básico","Grande Premium Básico",4,25504,1.8,FALSE,2.75975359342916,24
139,"Pequeño","Estándar","Experimentado","Muy bueno","Pequeño Estándar Muy bueno",1,11125,4.1,FALSE,2.32717316906229,8
140,"Grande","Estándar","Veterano","Básico","Grande Estándar Básico",4,18115.75,1.5,FALSE,4.47091033538672,1
141,"Grande","Estándar","Experimentado","Básico","Grande Estándar Básico",5,14918.6,3,FALSE,2.57084188911704,8
142,"Muy grande","Lujo","Veterano","Básico","Muy grande Lujo Básico",NA,NA,2,FALSE,4.98015058179329,2
143,"Mediano","Premium","Veterano","Básico","Mediano Premium Básico",3,24707.6666666667,1.8,FALSE,6.78165639972621,2
144,"Pequeño","Lujo","Veterano","Básico","Pequeño Lujo Básico",1,42898,2.3,TRUE,8.09582477754962,24
145,"Grande","Estándar","Veterano","Básico","Grande Estándar Básico",5,14153.2,1.8,TRUE,6.6611909650924,1
146,"Pequeño","Estándar","Veterano","Básico","Pequeño Estándar Básico",1,12170,1.6,FALSE,7.38672142368241,8
147,"Mediano","Premium","Veterano","Básico","Mediano Premium Básico",2,31650,2.2,FALSE,7.16221765913758,1
148,"Muy grande","Lujo","Veterano","Excelente","Muy grande Lujo Excelente",NA,NA,5,FALSE,6.02874743326489,48
149,"Grande","Premium","Veterano","Excelente","Grande Premium Excelente",4,20749.75,4.8,FALSE,3.41683778234086,1
150,"Mediano","Estándar","Veterano","Básico","Mediano Estándar Básico",2,19656.5,3,FALSE,8.15605749486653,24
151,"Grande","Premium","Experimentado","Bueno","Grande Premium Bueno",4,28447.25,3.1,FALSE,2.362765229295,12
152,"Mediano","Premium","Veterano","Bueno","Mediano Premium Bueno",2,20497,3.6,FALSE,3.76728268309377,4
153,"Mediano","Económico","Experimentado","Básico","Mediano Económico Básico",2,8361,1.9,FALSE,1.54688569472964,2
154,"Pequeño","Lujo","Veterano","Bueno","Pequeño Lujo Bueno",1,57529,3.5,FALSE,4.28747433264887,12
155,"Mediano","Estándar","Veterano","Básico","Mediano Estándar Básico",2,19045,1,FALSE,8.23545516769336,2
156,"Grande","Estándar","Veterano","Básico","Grande Estándar Básico",4,18017.25,1.5,FALSE,3.83846680355921,12
157,"Muy grande","Premium","Veterano","Básico","Muy grande Premium Básico",8,32162.5,1,TRUE,6.32717316906229,48
158,"Mediano","Premium","Experimentado","Muy bueno","Mediano Premium Muy bueno",3,20995.3333333333,4.5,TRUE,2.98425735797399,1
159,"Mediano","Premium","Experimentado","Básico","Mediano Premium Básico",3,23185.3333333333,1.8,FALSE,2.54346338124572,24
160,"Mediano","Premium","Veterano","Excelente","Mediano Premium Excelente",2,23041,4.8,FALSE,5.77138945927447,12
161,"Grande","Premium","Experimentado","Básico","Grande Premium Básico",4,22540.75,1.5,FALSE,2.77070499657769,12
162,"Grande","Lujo","Experimentado","Básico","Grande Lujo Básico",4,37109,1.9,FALSE,1.05133470225873,4
163,"Mediano","Premium","Veterano","Básico","Mediano Premium Básico",2,32522,1.5,TRUE,5.74674880219028,1
164,"Mediano","Estándar","Veterano","Bueno","Mediano Estándar Bueno",2,10078.5,3.5,FALSE,6.49965776865161,8
165,"Mediano","Estándar","Veterano","Excelente","Mediano Estándar Excelente",3,16256.6666666667,4.8,FALSE,4.19438740588638,24
166,"Grande","Estándar","Novato","Básico","Grande Estándar Básico",5,16992,1.8,FALSE,0.511978097193703,1
167,"Muy grande","Premium","Veterano","Bueno","Muy grande Premium Bueno",6,27564.8333333333,3.5,FALSE,4.88432580424367,24
168,"Mediano","Premium","Veterano","Básico","Mediano Premium Básico",2,25927.5,1.6,FALSE,6.55715263518138,4
169,"Mediano","Lujo","Veterano","Básico","Mediano Lujo Básico",3,35800.3333333333,2.2,FALSE,4.5201916495551,2
170,"Grande","Estándar","Veterano","Básico","Grande Estándar Básico",4,17555.25,2.5,FALSE,4.94729637234771,8
171,"Mediano","Estándar","Veterano","Básico","Mediano Estándar Básico",2,14836,2.6,FALSE,4.64887063655031,12
172,"Pequeño","Estándar","Veterano","Bueno","Pequeño Estándar Bueno",1,11651,3.4,FALSE,7.37850787132101,24
173,"Mediano","Lujo","Experimentado","Básico","Mediano Lujo Básico",3,38471.3333333333,2.3,FALSE,1.23750855578371,8
174,"Grande","Premium","Experimentado","Excelente","Grande Premium Excelente",4,28943.5,4.9,TRUE,2.47775496235455,1
175,"Grande","Premium","Veterano","Básico","Grande Premium Básico",4,21689,1.5,FALSE,3.4880219028063,2
176,"Mediano","Premium","Experimentado","Básico","Mediano Premium Básico",3,30827.3333333333,1.2,FALSE,1.20191649555099,12
177,"Pequeño","Estándar","Experimentado","Bueno","Pequeño Estándar Bueno",1,19906,3.3,FALSE,1.52224503764545,4
178,"Mediano","Premium","Veterano","Excelente","Mediano Premium Excelente",3,33034.6666666667,4.6,FALSE,7.68514715947981,4
179,"Grande","Premium","Veterano","Básico","Grande Premium Básico",4,25247.25,1.6,FALSE,3.35386721423682,48
180,"Muy grande","Premium","Novato","Bueno","Muy grande Premium Bueno",6,22663.5,3.7,TRUE,0.531143052703628,1
181,"Mediano","Estándar","Veterano","Excelente","Mediano Estándar Excelente",3,10719.3333333333,4.8,FALSE,3.86310746064339,1
182,"Grande","Premium","Experimentado","Básico","Grande Premium Básico",5,31395.2,2.1,FALSE,1.50855578370979,8
183,"Mediano","Estándar","Veterano","Bueno","Mediano Estándar Bueno",3,19735.3333333333,4,TRUE,6.2861054072553,2
184,"Pequeño","Lujo","Veterano","Básico","Pequeño Lujo Básico",1,35182,2.9,FALSE,7.73716632443532,1
185,"Mediano","Lujo","Experimentado","Básico","Mediano Lujo Básico",2,35591.5,2.2,FALSE,1.82340862422998,8
186,"Muy grande","Premium","Novato","Básico","Muy grande Premium Básico",7,29373.7142857143,2.8,FALSE,0.659822039698836,2
187,"Mediano","Premium","Veterano","Básico","Mediano Premium Básico",3,21947,1.3,FALSE,6.35455167693361,8
188,"Mediano","Premium","Experimentado","Muy bueno","Mediano Premium Muy bueno",3,20851.3333333333,4.1,FALSE,1.34702258726899,48
189,"Mediano","Premium","Experimentado","Básico","Mediano Premium Básico",2,29219.5,2.2,TRUE,2.46680355920602,8
190,"Mediano","Premium","Veterano","Muy bueno","Mediano Premium Muy bueno",3,23296.3333333333,4.3,FALSE,3.07734428473648,2
191,"Grande","Premium","Veterano","Excelente","Grande Premium Excelente",4,33242,5,FALSE,8.00547570157426,8
192,"Grande","Estándar","Veterano","Bueno","Grande Estándar Bueno",4,14659.75,3.6,FALSE,6.43394934976044,48
193,"Grande","Premium","Veterano","Excelente","Grande Premium Excelente",5,23636.6,4.9,FALSE,7.20054757015743,24
194,"Grande","Premium","Veterano","Básico","Grande Premium Básico",4,29589.25,2.2,TRUE,6.47227926078029,12
195,"Muy grande","Premium","Veterano","Básico","Muy grande Premium Básico",8,28396.875,2.9,FALSE,4.16153319644079,8
196,"Mediano","Premium","Veterano","Básico","Mediano Premium Básico",3,32875,1.9,FALSE,5.63449691991786,8
197,"Grande","Premium","Veterano","Muy bueno","Grande Premium Muy bueno",4,24074,4.2,FALSE,3.47707049965777,48
198,"Mediano","Premium","Veterano","Excelente","Mediano Premium Excelente",2,30355,4.9,FALSE,7.76728268309377,12
199,"Mediano","Premium","Veterano","Básico","Mediano Premium Básico",3,23283,2.7,FALSE,7.48254620123203,12
200,"Muy grande","Lujo","Veterano","Muy bueno","Muy grande Lujo Muy bueno",NA,NA,4.5,TRUE,5.81245722108145,24
201,"Mediano","Estándar","Veterano","Básico","Mediano Estándar Básico",2,16911,2.1,FALSE,3.91512662559891,48
202,"Mediano","Premium","Experimentado","Bueno","Mediano Premium Bueno",3,32633.6666666667,3.9,TRUE,1.10335386721424,48
203,"Grande","Premium","Experimentado","Bueno","Grande Premium Bueno",4,27345.5,3.9,FALSE,1.59616700889802,48
204,"Mediano","Estándar","Veterano","Básico","Mediano Estándar Básico",2,17332,2.3,FALSE,3.9917864476386,8
205,"Mediano","Estándar","Veterano","Muy bueno","Mediano Estándar Muy bueno",3,17258.6666666667,4.1,FALSE,6.507871321013,12
206,"Pequeño","Estándar","Veterano","Muy bueno","Pequeño Estándar Muy bueno",1,11080,4.3,FALSE,6.98699520876112,12
207,"Muy grande","Lujo","Veterano","Muy bueno","Muy grande Lujo Muy bueno",NA,NA,4.3,FALSE,6.84188911704312,2
208,"Mediano","Estándar","Veterano","Bueno","Mediano Estándar Bueno",3,19519.6666666667,3.7,FALSE,5.96577686516085,48
209,"Mediano","Premium","Veterano","Básico","Mediano Premium Básico",2,21378.5,1.8,TRUE,5.19096509240246,1
210,"Mediano","Premium","Experimentado","Básico","Mediano Premium Básico",3,31950.6666666667,1.9,FALSE,1.25941136208077,4
211,"Mediano","Premium","Veterano","Bueno","Mediano Premium Bueno",3,24803.3333333333,3.7,TRUE,4.79671457905544,4
212,"Muy grande","Estándar","Veterano","Bueno","Muy grande Estándar Bueno",7,10615.1428571429,3.9,FALSE,4.14236824093087,1
213,"Muy grande","Premium","Veterano","Muy bueno","Muy grande Premium Muy bueno",6,22677.1666666667,4.2,FALSE,3.21971252566735,24
214,"Grande","Estándar","Veterano","Excelente","Grande Estándar Excelente",4,19600.25,4.8,FALSE,3.00616016427105,48
215,"Mediano","Económico","Experimentado","Excelente","Mediano Económico Excelente",2,8566.5,4.8,TRUE,1.47843942505133,4
216,"Grande","Premium","Experimentado","Bueno","Grande Premium Bueno",4,20077.5,3.9,FALSE,1.49760438056126,4
217,"Muy grande","Premium","Veterano","Básico","Muy grande Premium Básico",6,32373.3333333333,1.3,FALSE,4.32580424366872,8
218,"Grande","Premium","Veterano","Básico","Grande Premium Básico",5,21834,2.7,TRUE,8.2299794661191,2
219,"Grande","Premium","Experimentado","Bueno","Grande Premium Bueno",5,25196,3.4,FALSE,2.64202600958248,2
220,"Muy grande","Lujo","Veterano","Muy bueno","Muy grande Lujo Muy bueno",NA,NA,4.1,TRUE,3.46064339493498,24
221,"Muy grande","Lujo","Novato","Básico","Muy grande Lujo Básico",NA,NA,2,TRUE,0.843258042436687,4
222,"Mediano","Lujo","Veterano","Básico","Mediano Lujo Básico",2,37601.5,2.2,FALSE,5.15537303216975,8
223,"Mediano","Premium","Veterano","Básico","Mediano Premium Básico",2,24618,2.8,FALSE,8.20807665982204,1
224,"Mediano","Premium","Experimentado","Básico","Mediano Premium Básico",3,24627.3333333333,2.8,FALSE,1.75770020533881,8
225,"Pequeño","Estándar","Experimentado","Básico","Pequeño Estándar Básico",1,11361,3,FALSE,2.84188911704312,4
226,"Grande","Premium","Experimentado","Básico","Grande Premium Básico",5,31227.4,2.5,TRUE,2.42847364818617,12
227,"Mediano","Económico","Veterano","Muy bueno","Mediano Económico Muy bueno",2,9795,4.1,FALSE,3.22518822724162,48
228,"Grande","Premium","Veterano","Básico","Grande Premium Básico",5,28686,1.7,FALSE,4.10677618069815,12
