"id_alquila","sexo","edad","provincia_nacimiento","cantidad_alquileres","calificacion_media","fecha_registro","nivel_verificacion","idiomas_hablados","preferencia_ubicacion"
68,"Femenino",42,"Santa Cruz",21,4,2020-11-06,"Intermedio","Español,Inglés,Portugués","Chaco"
69,"Masculino",63,"Chubut",28,3.5,2019-01-19,"Intermedio","Español,Inglés,Portugués","Buenos Aires"
70,"Masculino",49,"CABA",2,2.8,2024-08-07,"Completo","Español","Tierra del Fuego"
71,"Masculino",54,"Chubut",50,3.5,2021-07-06,"Completo","Español,Inglés","Misiones"
72,"Femenino",59,"Santa Fe",37,2.2,2023-11-28,"Intermedio","Español","Corrientes"
73,"Masculino",28,"Tucumán",30,3.5,2020-01-23,"Básico","Español,Inglés","San Juan"
74,"Femenino",69,"Chaco",42,1.1,2021-07-17,"Básico","Español,Inglés,Portugués","CABA"
75,"Masculino",64,"Mendoza",50,3.6,2020-09-09,"Básico","Español,Portugués","La Pampa"
76,"Masculino",41,"La Rioja",38,3,2023-12-06,"Intermedio","Español,Inglés,Portugués","Santa Cruz"
77,"Femenino",20,"CABA",2,2.5,2023-06-03,"Intermedio","Español,Inglés","Neuquén"
78,"Femenino",66,"La Rioja",29,2.3,2023-01-04,"Intermedio","Español","Tucumán"
79,"Femenino",57,"Misiones",20,1.4,2020-07-08,"Básico","Español","Tucumán"
80,"Masculino",45,"Santa Cruz",12,1.5,2024-08-20,"Intermedio","Español,Portugués","Córdoba"
81,"Femenino",48,"Buenos Aires",35,3.3,2020-11-20,"Básico","Español,Portugués","Entre Ríos"
82,"Masculino",62,"CABA",34,1.7,2023-08-31,"Intermedio","Español,Inglés,Portugués","Tucumán"
83,"Masculino",65,"Corrientes",49,3.1,2024-07-20,"Básico","Español,Portugués","La Pampa"
84,"Femenino",27,"San Juan",10,4.1,2023-05-14,"Básico","Español,Inglés,Portugués","La Rioja"
85,"Masculino",27,"Buenos Aires",46,4.5,2020-05-08,"Básico","Español,Inglés","Catamarca"
86,"Masculino",59,"Tucumán",50,4.5,2023-03-11,"Completo","Español","San Luis"
87,"Masculino",60,"San Juan",27,2.9,2022-01-08,"Básico","Español,Inglés,Portugués","Neuquén"
88,"Femenino",70,"San Luis",35,4.5,2023-01-02,"Completo","Español,Inglés,Portugués","Corrientes"
89,"Femenino",19,"Neuquén",45,3.6,2023-06-15,"Intermedio","Español,Portugués","La Rioja"
90,"Femenino",51,"Corrientes",20,1,2020-05-29,"Básico","Español,Inglés","Misiones"
91,"Femenino",53,"Mendoza",25,4.9,2021-04-09,"Intermedio","Español,Inglés","Córdoba"
92,"Femenino",49,"Santa Fe",42,2.5,2024-05-06,"Completo","Español","San Juan"
93,"Masculino",58,"Mendoza",44,3.1,2021-11-18,"Básico","Español,Inglés,Portugués","La Pampa"
94,"Masculino",42,"Tucumán",25,1.3,2020-05-18,"Intermedio","Español,Inglés,Portugués","Tierra del Fuego"
95,"Masculino",22,"Tucumán",21,3.5,2019-01-09,"Completo","Español,Inglés","Corrientes"
96,"Masculino",66,"Santa Cruz",28,4,2020-12-12,"Completo","Español,Inglés","Córdoba"
97,"Femenino",61,"San Juan",43,4.9,2021-01-20,"Intermedio","Español,Portugués","Buenos Aires"
98,"Femenino",58,"Río Negro",5,3.9,2020-02-15,"Intermedio","Español","Córdoba"
99,"Masculino",22,"La Pampa",13,3.6,2022-12-21,"Básico","Español,Inglés,Portugués","Formosa"
100,"Femenino",30,"San Luis",3,4.5,2023-02-13,"Completo","Español,Inglés,Portugués","Entre Ríos"
101,"Masculino",61,"Neuquén",10,1.3,2019-12-23,"Intermedio","Español","Tucumán"
102,"Masculino",47,"Neuquén",6,1.1,2019-11-12,"Completo","Español,Inglés,Portugués","San Juan"
103,"Masculino",63,"Tucumán",7,3.6,2024-06-19,"Básico","Español,Inglés,Portugués","Chubut"
104,"Masculino",57,"San Juan",44,3.1,2024-10-16,"Básico","Español,Inglés,Portugués","Salta"
105,"Masculino",39,"Chubut",17,3.9,2024-02-02,"Básico","Español,Inglés,Portugués","La Rioja"
106,"Femenino",63,"Santa Cruz",46,4.9,2024-01-31,"Completo","Español,Portugués","Córdoba"
107,"Masculino",48,"Formosa",9,2.5,2024-03-30,"Intermedio","Español,Inglés","Santa Cruz"
108,"Femenino",24,"Neuquén",47,1.8,2024-09-18,"Completo","Español","Tucumán"
109,"Masculino",58,"Corrientes",22,4.1,2022-07-05,"Básico","Español,Portugués","Corrientes"
110,"Masculino",65,"Salta",0,4.9,2022-09-20,"Intermedio","Español,Inglés,Portugués","Santiago del Estero"
111,"Masculino",57,"Mendoza",47,4.3,2020-09-23,"Completo","Español,Inglés","Formosa"
112,"Femenino",43,"Santa Cruz",27,3.6,2022-01-29,"Básico","Español","Misiones"
113,"Femenino",47,"Neuquén",6,2.6,2024-04-28,"Completo","Español","Tucumán"
114,"Femenino",20,"La Pampa",15,4.7,2020-08-25,"Intermedio","Español,Inglés","CABA"
115,"Masculino",70,"Corrientes",29,4.1,2019-09-01,"Intermedio","Español,Inglés","Buenos Aires"
116,"Masculino",58,"Catamarca",23,4.7,2023-03-07,"Básico","Español,Inglés,Portugués","Santa Fe"
117,"Femenino",63,"Buenos Aires",41,3.9,2022-04-07,"Completo","Español,Inglés","Tucumán"
118,"Femenino",50,"Tucumán",36,2.5,2019-06-29,"Completo","Español","La Pampa"
119,"Masculino",36,"La Rioja",9,5,2019-10-07,"Completo","Español,Inglés,Portugués","Tucumán"
120,"Femenino",54,"Jujuy",50,1.5,2021-06-02,"Básico","Español,Inglés,Portugués","Santa Fe"
121,"Femenino",30,"La Pampa",40,4.2,2022-03-25,"Básico","Español,Portugués","Entre Ríos"
122,"Masculino",62,"Formosa",35,2.8,2024-01-11,"Completo","Español,Inglés,Portugués","San Luis"
123,"Femenino",68,"Entre Ríos",33,4.4,2024-11-29,"Completo","Español","Santa Fe"
124,"Femenino",30,"Entre Ríos",1,3.1,2020-08-19,"Completo","Español","Chaco"
125,"Femenino",51,"La Pampa",14,1.4,2019-10-07,"Intermedio","Español,Inglés","Tucumán"
126,"Masculino",53,"Santa Fe",29,1.7,2022-07-16,"Intermedio","Español","Jujuy"
127,"Masculino",67,"Tierra del Fuego",36,2.5,2023-05-11,"Completo","Español,Inglés,Portugués","Santa Cruz"
128,"Masculino",37,"Chaco",16,4.8,2022-07-19,"Básico","Español","La Pampa"
129,"Femenino",39,"Río Negro",2,4.5,2022-04-03,"Básico","Español,Inglés","Río Negro"
130,"Masculino",28,"San Juan",49,3.2,2019-04-19,"Básico","Español","San Juan"
131,"Femenino",56,"Entre Ríos",32,4.8,2020-07-06,"Básico","Español","Jujuy"
132,"Femenino",63,"Santa Cruz",16,3,2019-03-24,"Completo","Español","Santa Fe"
133,"Masculino",56,"Salta",6,1.6,2019-01-25,"Intermedio","Español,Inglés,Portugués","Tierra del Fuego"
134,"Femenino",28,"La Pampa",16,1.5,2022-04-03,"Intermedio","Español","San Luis"
135,"Femenino",69,"Corrientes",0,1,2022-10-24,"Completo","Español,Portugués","Corrientes"
136,"Masculino",62,"Corrientes",0,5,2023-03-27,"Completo","Español,Inglés","Jujuy"
137,"Masculino",28,"Jujuy",16,4.7,2024-03-18,"Básico","Español","Corrientes"
138,"Femenino",46,"San Luis",28,1.6,2020-01-17,"Intermedio","Español","Río Negro"
139,"Femenino",35,"San Juan",0,2.1,2023-08-09,"Completo","Español","Santa Cruz"
140,"Femenino",47,"Formosa",14,4.5,2020-01-01,"Completo","Español","San Juan"
141,"Masculino",55,"Formosa",24,3.7,2020-09-21,"Básico","Español,Portugués","Córdoba"
142,"Masculino",65,"San Juan",38,3,2022-07-19,"Completo","Español","Tierra del Fuego"
143,"Masculino",47,"Corrientes",50,1.3,2024-08-29,"Básico","Español,Inglés","Entre Ríos"
144,"Masculino",32,"Río Negro",24,3.8,2022-10-19,"Básico","Español,Inglés","Misiones"
145,"Masculino",66,"Catamarca",28,3.8,2021-04-11,"Completo","Español,Portugués","Misiones"
146,"Femenino",68,"Catamarca",8,4,2019-01-26,"Intermedio","Español,Inglés","Chaco"
147,"Masculino",36,"Entre Ríos",0,4.3,2023-03-12,"Completo","Español,Portugués","Salta"
148,"Femenino",43,"Salta",5,1.2,2024-08-02,"Completo","Español,Inglés","San Juan"
149,"Masculino",69,"La Pampa",15,2.5,2019-10-06,"Básico","Español,Inglés,Portugués","Salta"
150,"Femenino",62,"San Luis",9,1.7,2023-03-23,"Básico","Español,Inglés,Portugués","Formosa"
151,"Femenino",70,"Chubut",30,1.2,2020-07-20,"Completo","Español","Entre Ríos"
152,"Masculino",38,"Córdoba",5,3.9,2019-03-19,"Intermedio","Español,Inglés,Portugués","La Rioja"
153,"Femenino",34,"Chaco",44,1.7,2021-06-22,"Completo","Español,Inglés","Misiones"
154,"Femenino",61,"Misiones",50,3.6,2024-06-28,"Intermedio","Español","Salta"
155,"Masculino",31,"Córdoba",4,2.9,2019-01-26,"Básico","Español","La Rioja"
156,"Masculino",48,"Salta",37,3.2,2021-11-05,"Básico","Español","CABA"
157,"Femenino",50,"Chaco",42,4.9,2022-04-11,"Completo","Español,Inglés,Portugués","Chubut"
158,"Femenino",27,"Córdoba",11,1.2,2021-11-17,"Intermedio","Español,Inglés,Portugués","Salta"
159,"Femenino",50,"Jujuy",8,3.3,2019-01-25,"Completo","Español,Inglés,Portugués","Salta"
160,"Femenino",64,"Jujuy",0,2.9,2021-02-10,"Completo","Español,Portugués","Santa Cruz"
161,"Masculino",51,"Río Negro",5,4.3,2024-09-18,"Completo","Español,Inglés,Portugués","Río Negro"
162,"Femenino",36,"Formosa",23,2.8,2020-10-17,"Intermedio","Español,Portugués","Tucumán"
163,"Masculino",30,"Santa Fe",33,4.8,2020-11-20,"Completo","Español,Portugués","Santiago del Estero"
164,"Femenino",42,"Jujuy",47,2.6,2019-10-18,"Básico","Español,Inglés","La Rioja"
165,"Masculino",60,"Jujuy",42,1.9,2020-10-19,"Intermedio","Español,Portugués","Entre Ríos"
166,"Femenino",23,"Neuquén",17,1.6,2020-02-10,"Completo","Español,Inglés,Portugués","Jujuy"
167,"Femenino",30,"Santa Cruz",19,3.2,2023-05-17,"Básico","Español,Portugués","La Pampa"
168,"Masculino",67,"Córdoba",45,2.8,2019-12-07,"Intermedio","Español,Inglés,Portugués","CABA"
169,"Masculino",54,"CABA",41,4.1,2023-11-19,"Básico","Español,Inglés,Portugués","Salta"
170,"Masculino",61,"San Luis",11,3.5,2021-11-17,"Completo","Español,Inglés","CABA"
171,"Masculino",54,"Formosa",29,2.7,2024-09-25,"Básico","Español,Portugués","San Juan"
172,"Masculino",51,"Salta",14,1.5,2019-08-03,"Intermedio","Español","Salta"
173,"Masculino",61,"Jujuy",35,1.9,2021-07-12,"Completo","Español,Inglés","Córdoba"
174,"Masculino",23,"Tierra del Fuego",35,1.2,2023-08-30,"Completo","Español,Inglés","Salta"
175,"Masculino",49,"La Rioja",7,3.2,2019-04-22,"Completo","Español,Inglés","Santa Fe"
176,"Masculino",31,"Chaco",36,1.7,2022-11-02,"Completo","Español,Inglés,Portugués","Catamarca"
177,"Masculino",47,"Entre Ríos",29,4.2,2019-07-08,"Intermedio","Español,Inglés","Río Negro"
178,"Femenino",29,"Córdoba",50,1.8,2020-02-10,"Completo","Español,Inglés","San Juan"
179,"Femenino",20,"Catamarca",38,4.3,2019-06-09,"Intermedio","Español,Inglés,Portugués","Corrientes"
180,"Femenino",41,"CABA",44,3.3,2022-06-13,"Completo","Español,Portugués","Chaco"
181,"Masculino",62,"Entre Ríos",2,3.4,2024-02-08,"Completo","Español,Inglés","Misiones"
182,"Masculino",26,"Jujuy",30,1.6,2019-06-09,"Intermedio","Español,Inglés,Portugués","Salta"
183,"Femenino",24,"Entre Ríos",0,4.7,2019-07-27,"Intermedio","Español","Santa Cruz"
184,"Femenino",22,"Santa Cruz",46,3.7,2021-12-24,"Completo","Español,Inglés","Misiones"
185,"Masculino",41,"Entre Ríos",48,2.2,2024-02-23,"Básico","Español","La Pampa"
186,"Femenino",48,"Entre Ríos",38,2.2,2024-07-07,"Básico","Español,Inglés","Santa Cruz"
187,"Femenino",38,"Mendoza",36,2.9,2022-01-10,"Completo","Español,Inglés,Portugués","Salta"
188,"Masculino",46,"CABA",9,3.6,2020-01-22,"Completo","Español,Inglés,Portugués","Corrientes"
189,"Masculino",30,"Córdoba",48,1.7,2019-04-07,"Intermedio","Español,Inglés","Santa Cruz"
190,"Femenino",41,"La Pampa",31,2.2,2023-07-03,"Completo","Español,Inglés,Portugués","Tierra del Fuego"
191,"Masculino",22,"Córdoba",48,1.7,2023-01-29,"Completo","Español,Inglés","Santa Cruz"
192,"Masculino",37,"La Pampa",8,2.4,2022-04-20,"Básico","Español","Santa Cruz"
193,"Masculino",30,"Chaco",40,2.1,2022-12-07,"Básico","Español,Portugués","Neuquén"
194,"Femenino",49,"Buenos Aires",14,1.1,2022-03-17,"Intermedio","Español,Inglés,Portugués","Corrientes"
195,"Femenino",55,"Salta",20,4.7,2023-11-05,"Intermedio","Español","Santiago del Estero"
196,"Masculino",32,"Entre Ríos",43,1.2,2023-10-13,"Completo","Español,Inglés","Córdoba"
197,"Masculino",59,"Entre Ríos",14,2.7,2022-12-31,"Básico","Español,Inglés,Portugués","Chaco"
198,"Masculino",49,"La Rioja",45,2.2,2023-03-06,"Completo","Español,Inglés,Portugués","Tierra del Fuego"
199,"Femenino",36,"Jujuy",38,3.3,2019-06-30,"Intermedio","Español","Formosa"
200,"Femenino",52,"Chaco",44,5,2019-10-11,"Completo","Español","Santiago del Estero"
201,"Masculino",26,"San Luis",21,1.4,2019-08-02,"Básico","Español,Inglés,Portugués","La Pampa"
202,"Masculino",65,"Entre Ríos",21,2.3,2023-11-17,"Básico","Español,Inglés,Portugués","Chaco"
203,"Masculino",38,"Chubut",40,1.5,2020-11-21,"Completo","Español,Inglés","Córdoba"
204,"Masculino",19,"San Juan",31,1.7,2024-05-29,"Intermedio","Español,Inglés","Río Negro"
205,"Femenino",38,"Santa Fe",40,3.2,2023-01-21,"Intermedio","Español","La Rioja"
206,"Femenino",55,"Tucumán",2,3.8,2024-09-06,"Básico","Español,Portugués","Formosa"
207,"Masculino",29,"Misiones",10,4.1,2024-12-27,"Básico","Español,Portugués","Neuquén"
208,"Masculino",56,"Jujuy",49,1.1,2020-11-26,"Básico","Español","Córdoba"
209,"Femenino",18,"San Luis",37,3.4,2019-10-28,"Completo","Español,Inglés","San Juan"
210,"Masculino",32,"Jujuy",46,4.5,2023-08-01,"Básico","Español","Córdoba"
211,"Femenino",37,"Río Negro",44,2.9,2019-08-16,"Intermedio","Español,Portugués","La Pampa"
212,"Femenino",54,"Río Negro",23,1.2,2019-09-07,"Completo","Español,Inglés,Portugués","Buenos Aires"
213,"Masculino",70,"Río Negro",48,2.1,2019-01-07,"Básico","Español","Córdoba"
214,"Femenino",48,"Santa Fe",23,2.1,2020-09-03,"Completo","Español,Portugués","La Rioja"
215,"Femenino",50,"Chaco",40,3.2,2019-02-17,"Completo","Español,Portugués","Tierra del Fuego"
216,"Femenino",23,"Mendoza",44,3.2,2023-03-14,"Básico","Español","Tucumán"
217,"Masculino",37,"Salta",25,4,2022-10-16,"Intermedio","Español,Inglés,Portugués","Santa Cruz"
218,"Femenino",21,"Río Negro",22,4.2,2019-02-03,"Intermedio","Español,Portugués","Buenos Aires"
219,"Femenino",48,"Tucumán",10,4.7,2023-08-12,"Básico","Español,Portugués","Entre Ríos"
220,"Femenino",67,"Mendoza",11,2.9,2022-07-06,"Intermedio","Español,Inglés,Portugués","Corrientes"
221,"Femenino",69,"Santiago del Estero",41,3.5,2019-12-19,"Básico","Español,Inglés,Portugués","Tierra del Fuego"
222,"Femenino",20,"San Luis",29,3.3,2023-09-26,"Completo","Español,Inglés","Tierra del Fuego"
223,"Femenino",59,"Catamarca",27,4.5,2022-11-01,"Intermedio","Español,Portugués","Buenos Aires"
224,"Femenino",41,"Neuquén",13,2.4,2021-07-25,"Intermedio","Español,Inglés","Salta"
225,"Masculino",56,"Santa Fe",26,4,2024-11-09,"Intermedio","Español","Tucumán"
226,"Masculino",31,"Córdoba",39,4.1,2024-03-24,"Completo","Español,Inglés","Jujuy"
227,"Femenino",28,"Buenos Aires",48,3.1,2020-04-27,"Completo","Español,Portugués","Neuquén"
228,"Femenino",21,"Río Negro",9,1.4,2023-01-02,"Básico","Español","Santiago del Estero"
229,"Femenino",35,"Entre Ríos",1,3.8,2022-08-29,"Intermedio","Español,Inglés","San Luis"
230,"Masculino",38,"Santa Cruz",27,2.5,2021-12-06,"Básico","Español,Inglés,Portugués","Formosa"
231,"Femenino",50,"Entre Ríos",13,3.4,2023-11-17,"Completo","Español,Inglés,Portugués","Mendoza"
232,"Femenino",53,"Salta",44,3,2022-01-04,"Completo","Español,Portugués","Tierra del Fuego"
233,"Femenino",55,"La Rioja",43,4.8,2023-02-07,"Completo","Español,Inglés","La Rioja"
234,"Femenino",64,"CABA",0,4.8,2019-04-12,"Intermedio","Español","Mendoza"
235,"Masculino",69,"Mendoza",25,1.1,2023-04-01,"Básico","Español,Inglés,Portugués","Salta"
236,"Femenino",64,"Córdoba",19,4.9,2024-02-08,"Completo","Español,Portugués","Formosa"
237,"Femenino",18,"Río Negro",22,4.5,2019-03-06,"Intermedio","Español,Inglés","Misiones"
238,"Femenino",68,"Misiones",20,3.3,2023-07-02,"Básico","Español,Portugués","Mendoza"
239,"Femenino",65,"Tierra del Fuego",49,3.4,2021-06-01,"Intermedio","Español","Río Negro"
240,"Femenino",62,"Mendoza",44,2.5,2019-03-29,"Básico","Español,Portugués","Chaco"
241,"Masculino",55,"San Juan",39,1.9,2023-02-17,"Intermedio","Español,Inglés","Santa Fe"
242,"Masculino",56,"Santa Cruz",33,2,2024-07-04,"Intermedio","Español,Inglés,Portugués","Entre Ríos"
243,"Masculino",41,"Mendoza",46,4,2022-12-28,"Completo","Español,Inglés,Portugués","Mendoza"
244,"Femenino",42,"Santa Fe",11,1.5,2019-11-24,"Completo","Español","La Rioja"
245,"Femenino",20,"Chaco",25,2.1,2023-03-19,"Intermedio","Español,Portugués","Formosa"
246,"Femenino",70,"Neuquén",16,4.3,2023-04-17,"Completo","Español,Portugués","San Juan"
247,"Masculino",34,"Chaco",17,3.7,2022-05-08,"Completo","Español","Chubut"
248,"Masculino",48,"Río Negro",28,4.8,2019-05-09,"Completo","Español,Inglés,Portugués","Río Negro"
249,"Femenino",51,"San Juan",14,1.4,2019-04-20,"Intermedio","Español,Portugués","La Pampa"
250,"Masculino",23,"Misiones",6,1.6,2022-03-01,"Básico","Español,Inglés,Portugués","Neuquén"
251,"Femenino",64,"San Juan",7,3.2,2021-08-15,"Básico","Español,Inglés,Portugués","Santiago del Estero"
252,"Masculino",63,"Jujuy",10,2.4,2022-04-16,"Completo","Español","Santa Cruz"
253,"Masculino",60,"Neuquén",16,1.5,2023-10-27,"Intermedio","Español,Inglés","Formosa"
254,"Femenino",44,"Buenos Aires",5,2.8,2022-09-24,"Completo","Español","Misiones"
255,"Masculino",55,"Chubut",6,2.4,2022-03-12,"Completo","Español","Jujuy"
256,"Femenino",53,"Santa Cruz",8,1.6,2023-08-31,"Completo","Español","La Pampa"
257,"Masculino",24,"Formosa",6,3,2021-10-08,"Completo","Español,Inglés,Portugués","Córdoba"
258,"Femenino",46,"Salta",50,1.5,2019-06-04,"Intermedio","Español,Inglés","Santa Fe"
259,"Masculino",23,"Neuquén",21,4.7,2019-05-17,"Intermedio","Español,Portugués","Córdoba"
260,"Masculino",27,"Santiago del Estero",8,4.5,2024-03-24,"Completo","Español,Portugués","Chubut"
261,"Femenino",65,"Formosa",17,2.6,2020-08-04,"Completo","Español,Portugués","San Juan"
262,"Masculino",47,"Buenos Aires",49,1.4,2019-12-19,"Intermedio","Español,Portugués","Buenos Aires"
263,"Femenino",27,"Santiago del Estero",23,3.6,2022-01-04,"Completo","Español,Inglés","Mendoza"
264,"Masculino",69,"Neuquén",13,3.4,2019-05-18,"Intermedio","Español,Portugués","Salta"
265,"Femenino",26,"Corrientes",5,4.8,2023-05-12,"Completo","Español,Portugués","Tucumán"
266,"Femenino",53,"Chubut",7,2.6,2020-04-06,"Completo","Español,Inglés,Portugués","Neuquén"
267,"Femenino",32,"Mendoza",41,1.8,2024-10-23,"Básico","Español","Formosa"
268,"Femenino",51,"Santa Cruz",11,3.5,2020-07-28,"Completo","Español,Portugués","San Juan"
269,"Femenino",60,"Río Negro",40,1.5,2022-07-03,"Intermedio","Español,Portugués","Entre Ríos"
270,"Masculino",44,"Buenos Aires",13,1.1,2022-04-17,"Básico","Español,Inglés,Portugués","Entre Ríos"
271,"Masculino",25,"Catamarca",15,1.8,2020-10-17,"Completo","Español","Corrientes"
272,"Masculino",35,"Santa Cruz",5,1.5,2022-03-07,"Completo","Español,Portugués","Chaco"
273,"Masculino",33,"Catamarca",32,2,2022-08-22,"Completo","Español","Buenos Aires"
