"id_transaccion","id_alquila","id_arrendatario","id_casa","fecha_transaccion","origen_reserva"
43,833,695,2998,2024-01-03,"Agencia"
44,1566,876,2938,2024-10-16,"Sitio Web"
45,2056,719,7,2024-12-24,"Sitio Web"
46,1528,360,516,2023-08-14,"Sitio Web"
47,2229,363,164,2024-11-13,"App Móvil"
48,2871,232,1740,2024-07-23,"Agencia"
49,4515,823,2477,2024-04-03,"Sitio Web"
50,499,901,1621,2024-04-10,"App Móvil"
51,3820,302,399,2023-07-03,"Sitio Web"
52,96,106,2560,2024-05-04,"Teléfono"
53,3933,247,1262,2023-02-22,"App Móvil"
54,2771,189,2587,2024-09-17,"Sitio Web"
55,3108,589,1032,2024-06-11,"App Móvil"
56,2653,743,514,2023-10-19,"App Móvil"
57,123,569,2606,2023-09-22,"App Móvil"
58,278,333,218,2024-03-30,"Sitio Web"
59,1980,851,2944,2024-11-23,"Sitio Web"
60,3364,963,1883,2024-09-15,"App Móvil"
61,2822,561,2250,2024-11-10,"Agencia"
62,3532,857,2004,2024-10-06,"Sitio Web"
63,4497,532,810,2024-07-09,"Sitio Web"
64,2141,404,775,2024-03-19,"App Móvil"
65,3699,133,2889,2024-05-04,"App Móvil"
66,1091,748,2900,2024-12-03,"Sitio Web"
67,1196,259,1083,2024-12-15,"App Móvil"
68,3520,884,114,2024-12-14,"App Móvil"
69,1130,276,2515,2023-09-12,"Sitio Web"
70,4098,206,128,2023-11-20,"Sitio Web"
71,569,183,975,2023-08-31,"Sitio Web"
72,1077,933,2176,2024-12-30,"Sitio Web"
73,2991,889,197,2023-12-27,"Teléfono"
74,4596,102,1377,2023-01-17,"App Móvil"
75,648,954,1309,2023-07-04,"App Móvil"
76,2946,112,1735,2023-03-03,"App Móvil"
77,3682,432,1476,2024-11-29,"Teléfono"
78,3696,868,1791,2024-07-18,"App Móvil"
79,3372,991,2768,2024-05-06,"Teléfono"
80,2704,892,1037,2023-12-08,"Sitio Web"
81,1727,390,1235,2023-06-28,"Sitio Web"
82,3065,378,2683,2024-01-12,"App Móvil"
83,1249,872,978,2023-11-29,"Teléfono"
84,2475,481,2652,2024-03-01,"App Móvil"
85,2854,501,2007,2023-03-02,"Sitio Web"
86,2284,299,859,2023-05-15,"App Móvil"
87,2604,611,2431,2024-12-07,"Agencia"
88,2976,736,806,2023-01-15,"Agencia"
89,2833,42,364,2023-04-10,"Sitio Web"
90,743,151,1277,2023-07-19,"Teléfono"
91,4125,79,1684,2023-12-16,"App Móvil"
92,2721,312,1413,2023-10-16,"App Móvil"
93,1577,329,75,2023-05-07,"Sitio Web"
94,2800,182,2061,2023-08-25,"Teléfono"
95,2065,501,2935,2023-03-28,"Sitio Web"
96,2194,735,497,2024-02-02,"App Móvil"
97,2858,193,1022,2023-12-24,"Sitio Web"
98,296,110,2193,2023-10-06,"Sitio Web"
99,4277,700,1303,2024-08-12,"App Móvil"
100,4359,436,1805,2023-12-20,"Teléfono"
101,3432,369,706,2024-02-19,"App Móvil"
102,4531,316,198,2024-08-16,"App Móvil"
103,2166,757,2901,2024-08-02,"Sitio Web"
104,2520,528,1614,2023-07-18,"App Móvil"
105,4406,875,631,2024-08-18,"Teléfono"
106,1486,457,1399,2024-08-15,"App Móvil"
107,1877,560,2632,2023-01-02,"Sitio Web"
108,4158,568,360,2024-11-21,"Sitio Web"
109,1806,439,1643,2023-09-27,"Sitio Web"
110,3510,310,1879,2023-08-31,"Agencia"
111,1072,531,740,2024-11-18,"Sitio Web"
112,3163,188,2082,2024-02-11,"Teléfono"
113,2382,680,1353,2023-07-07,"Sitio Web"
114,2414,193,1598,2023-03-31,"Sitio Web"
115,1125,322,2110,2023-04-01,"App Móvil"
116,4615,531,1064,2024-01-02,"App Móvil"
117,541,95,764,2024-09-24,"Sitio Web"
118,50,408,1695,2024-02-15,"Sitio Web"
119,1170,419,2201,2023-12-14,"Sitio Web"
120,1877,10,2958,2023-10-12,"Sitio Web"
121,4045,742,1756,2024-03-08,"Sitio Web"
122,1610,1000,2673,2023-05-09,"App Móvil"
123,360,630,2873,2023-02-18,"Agencia"
124,2521,63,2469,2024-09-07,"Sitio Web"
125,625,288,1908,2023-04-23,"App Móvil"
126,4208,30,871,2024-07-06,"App Móvil"
127,717,660,261,2024-07-14,"App Móvil"
128,4618,267,299,2024-02-12,"Sitio Web"
129,3763,890,2259,2024-05-25,"Agencia"
130,567,506,363,2023-10-29,"Sitio Web"
131,4991,962,2882,2024-04-30,"App Móvil"
132,358,95,688,2024-10-30,"App Móvil"
133,3581,398,1432,2024-10-11,"Sitio Web"
134,3037,619,1771,2023-01-23,"Sitio Web"
135,175,619,1662,2023-04-20,"Sitio Web"
136,1549,514,74,2024-08-18,"App Móvil"
137,420,987,2657,2024-02-15,"Sitio Web"
138,3969,259,1441,2024-07-06,"App Móvil"
139,711,469,2492,2024-05-28,"App Móvil"
140,2704,49,187,2024-06-05,"App Móvil"
141,4574,601,188,2023-03-25,"App Móvil"
142,643,947,1555,2024-02-09,"App Móvil"
143,848,420,1359,2023-03-26,"Sitio Web"
144,4150,509,1088,2024-09-10,"Sitio Web"
145,1895,476,780,2023-07-13,"Sitio Web"
146,1660,895,2036,2024-10-17,"Sitio Web"
147,2498,246,2313,2023-02-16,"Sitio Web"
148,3664,485,1057,2024-05-21,"App Móvil"
149,449,765,1276,2023-01-09,"Sitio Web"
150,1461,614,979,2023-02-19,"Sitio Web"
151,4739,714,1978,2024-04-30,"App Móvil"
152,4444,940,85,2024-06-20,"App Móvil"
153,2813,453,1402,2024-03-13,"App Móvil"
154,3261,721,2568,2024-07-12,"App Móvil"
155,2161,455,230,2023-10-29,"Teléfono"
156,3405,706,40,2024-11-03,"Sitio Web"
157,4020,758,1706,2024-10-22,"App Móvil"
158,2869,629,2077,2023-10-30,"Sitio Web"
159,3077,476,278,2023-05-25,"App Móvil"
160,2299,162,686,2023-10-11,"Sitio Web"
161,1566,402,2406,2024-07-19,"App Móvil"
162,4757,652,2349,2024-04-11,"App Móvil"
163,1555,174,634,2024-06-25,"App Móvil"
164,4977,878,520,2024-07-01,"App Móvil"
165,3099,750,2854,2024-07-12,"Sitio Web"
166,3777,772,2134,2024-03-03,"App Móvil"
167,1528,917,1332,2024-01-27,"App Móvil"
168,3549,212,2917,2024-06-18,"App Móvil"
169,4619,2,540,2024-09-08,"Agencia"
170,3499,403,1458,2023-02-21,"Sitio Web"
171,4314,521,2018,2024-04-07,"Sitio Web"
172,1166,336,863,2023-04-10,"Sitio Web"
173,4570,825,2354,2024-01-26,"Sitio Web"
174,3192,5,2222,2024-04-21,"Sitio Web"
175,1015,933,795,2024-06-07,"Teléfono"
176,2377,39,2352,2023-01-02,"App Móvil"
177,494,667,2569,2023-02-14,"Sitio Web"
178,4855,1000,1823,2023-02-14,"App Móvil"
179,4126,749,1184,2023-03-10,"App Móvil"
180,4099,92,946,2024-07-28,"Agencia"
181,1637,855,365,2023-03-24,"Teléfono"
182,625,5,1766,2024-12-12,"Sitio Web"
183,310,102,203,2023-08-03,"App Móvil"
184,786,915,2912,2024-07-03,"App Móvil"
185,253,836,60,2023-12-11,"App Móvil"
186,4772,740,1457,2024-04-17,"Teléfono"
187,4410,175,753,2024-12-14,"App Móvil"
188,4912,10,464,2024-06-09,"Sitio Web"
189,2893,243,1527,2024-08-02,"Sitio Web"
190,1461,222,1322,2024-01-31,"App Móvil"
191,2259,921,1007,2023-09-29,"Sitio Web"
192,454,374,1446,2024-10-28,"App Móvil"
193,1135,516,2143,2024-01-11,"App Móvil"
194,1826,697,2525,2023-01-21,"Sitio Web"
195,4530,545,2010,2024-01-18,"App Móvil"
196,509,430,1436,2023-05-19,"Sitio Web"
197,3211,286,893,2024-03-25,"Sitio Web"
198,3132,981,812,2023-07-03,"Sitio Web"
199,2396,999,1856,2024-08-28,"Sitio Web"
200,3952,925,1033,2023-09-05,"Sitio Web"
201,4819,496,264,2023-12-29,"App Móvil"
202,305,973,1354,2024-10-31,"Sitio Web"
203,3511,253,1834,2024-08-28,"App Móvil"
204,1072,810,2199,2023-12-16,"Sitio Web"
205,270,344,1587,2023-06-14,"App Móvil"
206,130,966,362,2024-06-15,"App Móvil"
207,2999,128,2980,2024-06-14,"Teléfono"
208,4687,425,833,2024-11-10,"Sitio Web"
209,1782,321,1077,2024-07-14,"App Móvil"
210,3933,725,1342,2024-08-23,"App Móvil"
211,4548,322,1191,2023-08-08,"App Móvil"
212,3597,808,966,2024-09-21,"App Móvil"
213,2929,860,496,2023-10-21,"App Móvil"
214,1289,251,1769,2023-08-26,"Sitio Web"
215,854,95,688,2024-11-13,"App Móvil"
216,3692,642,1317,2023-05-05,"Sitio Web"
217,2034,793,1456,2023-07-08,"Sitio Web"
218,3394,500,2898,2023-01-30,"Sitio Web"
219,3123,193,1598,2023-12-13,"App Móvil"
220,1188,528,1614,2024-11-26,"App Móvil"
221,1304,919,2719,2023-04-23,"App Móvil"
222,4814,342,2330,2024-11-28,"Sitio Web"
223,1981,620,410,2024-10-25,"App Móvil"
224,956,375,1381,2024-09-17,"Agencia"
225,1165,666,355,2023-04-23,"Sitio Web"
226,3982,619,2821,2023-10-06,"App Móvil"
227,3886,260,1408,2023-09-02,"App Móvil"
228,4235,689,1733,2024-08-28,"Sitio Web"
229,1361,954,2984,2023-06-14,"App Móvil"
230,1382,471,1837,2023-07-09,"App Móvil"
231,2593,254,1498,2024-03-18,"App Móvil"
232,3610,770,734,2024-12-17,"App Móvil"
233,2329,253,2369,2024-04-16,"App Móvil"
234,1943,247,433,2023-10-13,"Sitio Web"
235,1755,963,1308,2024-09-11,"Teléfono"
236,4208,431,648,2024-01-24,"App Móvil"
237,4318,746,2921,2023-01-23,"Sitio Web"
238,1577,178,2876,2023-03-14,"Sitio Web"
239,661,996,527,2023-08-03,"App Móvil"
240,4874,512,668,2023-06-06,"App Móvil"
241,1120,384,157,2024-12-05,"Sitio Web"
242,3557,860,2510,2024-12-19,"Sitio Web"
243,1968,1,2228,2023-03-08,"Sitio Web"
244,4770,229,354,2023-02-24,"Sitio Web"
245,1035,869,1871,2024-02-09,"App Móvil"
246,3137,96,2916,2023-07-02,"App Móvil"
247,3093,782,438,2023-06-19,"Teléfono"
248,2890,819,2978,2024-10-09,"App Móvil"
249,367,272,2138,2024-06-17,"Sitio Web"
250,4356,864,1622,2024-03-14,"App Móvil"
251,3805,486,305,2023-11-19,"Agencia"
252,503,524,906,2024-07-04,"Teléfono"
253,791,499,2270,2024-10-21,"Sitio Web"
254,2881,367,2764,2023-10-14,"Teléfono"
255,3450,939,1437,2023-10-12,"App Móvil"
256,566,961,1794,2024-05-25,"Sitio Web"
257,4369,534,1942,2024-05-14,"Teléfono"
258,4062,668,2648,2023-05-14,"Sitio Web"
259,4045,560,2632,2024-11-29,"App Móvil"
260,4351,420,2858,2023-12-15,"App Móvil"
261,4533,749,1636,2024-02-03,"Sitio Web"
262,4951,726,845,2023-09-03,"Sitio Web"
263,3825,534,582,2023-03-25,"Teléfono"
264,1971,71,2841,2023-03-02,"Sitio Web"
265,4994,103,2436,2024-05-25,"App Móvil"
266,4379,256,633,2023-11-21,"Sitio Web"
267,447,478,2751,2024-04-01,"App Móvil"
268,838,601,2676,2024-08-11,"Sitio Web"
269,4507,89,1817,2023-04-14,"App Móvil"
270,3053,651,180,2023-03-08,"App Móvil"
271,4215,687,814,2023-01-24,"Teléfono"
272,560,396,2925,2023-12-17,"Agencia"
273,614,177,315,2023-04-14,"App Móvil"
274,651,104,1427,2023-08-28,"App Móvil"
275,873,645,892,2024-12-16,"App Móvil"
276,2591,275,201,2023-07-13,"Teléfono"
277,140,764,590,2024-05-10,"App Móvil"
278,2668,115,2789,2023-12-08,"Sitio Web"
279,3000,933,696,2024-10-04,"App Móvil"
280,3649,904,2849,2023-09-12,"App Móvil"
281,4901,154,392,2023-05-27,"Teléfono"
282,577,66,1355,2024-09-08,"Sitio Web"
283,2370,733,1130,2023-02-25,"Sitio Web"
284,361,491,248,2023-04-22,"App Móvil"
285,3149,473,130,2024-09-02,"Teléfono"
286,4784,214,720,2024-07-14,"Teléfono"
287,1902,133,445,2024-06-04,"Sitio Web"
288,1955,486,1296,2023-10-19,"App Móvil"
289,821,677,2737,2023-12-20,"App Móvil"
290,563,262,834,2023-01-20,"App Móvil"
291,3715,376,993,2023-06-16,"App Móvil"
292,90,350,206,2024-07-06,"App Móvil"
293,1561,189,2826,2024-11-19,"Sitio Web"
294,2955,692,338,2023-07-08,"App Móvil"
295,1236,894,2561,2024-08-12,"App Móvil"
296,3637,340,1968,2023-02-06,"App Móvil"
297,2670,948,2706,2024-05-07,"App Móvil"
298,2170,365,2015,2024-07-08,"App Móvil"
299,3231,342,2319,2024-11-24,"App Móvil"
300,2975,478,1281,2024-02-16,"Sitio Web"
301,427,724,2633,2023-09-20,"Sitio Web"
302,4890,614,2839,2023-09-16,"App Móvil"
303,1393,727,1761,2023-06-01,"Sitio Web"
304,4017,346,1768,2023-03-10,"App Móvil"
305,1420,583,2743,2024-07-17,"App Móvil"
306,2936,682,1302,2023-09-02,"App Móvil"
307,60,655,1499,2023-03-21,"Sitio Web"
308,3560,524,2794,2024-10-11,"Sitio Web"
309,2483,489,1565,2024-02-28,"Sitio Web"
310,984,717,2146,2024-05-21,"App Móvil"
311,1450,795,1556,2024-09-20,"Teléfono"
312,3208,735,2136,2023-12-17,"Sitio Web"
313,3919,228,998,2023-06-29,"App Móvil"
314,3846,999,2765,2024-09-02,"Sitio Web"
315,2186,443,509,2023-02-15,"App Móvil"
316,4845,771,1241,2024-01-29,"App Móvil"
317,653,108,1030,2024-11-19,"Sitio Web"
318,181,319,1558,2024-08-09,"Sitio Web"
319,4740,752,1541,2023-11-29,"Sitio Web"
320,3953,884,1529,2024-09-17,"Teléfono"
321,4230,66,151,2024-02-07,"Sitio Web"
322,4186,886,2051,2024-03-24,"Sitio Web"
323,3774,799,558,2024-05-14,"App Móvil"
324,4324,895,2036,2024-11-30,"App Móvil"
325,4199,141,658,2024-06-13,"App Móvil"
326,2299,639,22,2023-10-25,"Sitio Web"
327,4074,699,167,2024-10-05,"App Móvil"
328,4225,714,1223,2023-11-13,"App Móvil"
329,2038,864,1622,2023-02-06,"App Móvil"
330,4765,246,1737,2024-03-15,"Teléfono"
331,1827,464,2328,2024-08-18,"App Móvil"
332,3095,807,866,2024-05-22,"App Móvil"
333,4422,110,927,2023-03-18,"Teléfono"
334,496,155,825,2024-02-14,"App Móvil"
335,1877,455,1585,2023-03-04,"Sitio Web"
336,4919,138,1360,2023-06-08,"App Móvil"
337,619,158,1619,2024-04-12,"Sitio Web"
338,2381,134,1989,2023-10-06,"App Móvil"
339,591,820,1087,2024-04-19,"Agencia"
340,4659,333,1396,2024-12-23,"Sitio Web"
341,404,708,2251,2024-05-14,"App Móvil"
342,124,213,2908,2024-12-17,"Sitio Web"
343,2952,125,2446,2023-12-06,"Teléfono"
344,1269,620,2112,2023-02-23,"Sitio Web"
345,4023,720,1284,2023-06-27,"App Móvil"
346,4216,426,1903,2023-01-09,"App Móvil"
347,1898,296,1981,2024-09-17,"App Móvil"
348,3008,641,2759,2023-02-06,"App Móvil"
349,4102,578,2285,2024-05-06,"Sitio Web"
350,2908,527,1092,2024-10-09,"Sitio Web"
351,646,733,2712,2024-07-04,"App Móvil"
352,3750,423,2230,2024-10-30,"App Móvil"
353,3174,713,1904,2023-05-12,"App Móvil"
354,3738,898,2414,2023-08-30,"Sitio Web"
355,4280,615,2586,2024-05-22,"Sitio Web"
356,2145,360,1331,2024-03-26,"App Móvil"
357,3581,163,1889,2023-10-29,"App Móvil"
358,3430,117,1264,2023-12-06,"App Móvil"
359,4973,439,923,2024-01-24,"Teléfono"
360,3138,350,1691,2024-04-25,"App Móvil"
361,2018,718,1344,2023-08-23,"App Móvil"
362,1542,595,2946,2024-12-03,"App Móvil"
363,598,129,2289,2023-08-04,"Sitio Web"
364,2937,360,1331,2023-03-01,"Teléfono"
365,3741,649,236,2023-07-25,"Teléfono"
366,4938,330,1937,2024-10-01,"Sitio Web"
367,4985,174,2562,2023-02-11,"Teléfono"
368,3495,521,2018,2024-10-13,"Sitio Web"
369,540,130,1634,2023-05-25,"Sitio Web"
370,4328,796,2831,2023-02-04,"App Móvil"
371,2579,755,698,2023-08-01,"Teléfono"
372,1647,269,1760,2024-03-24,"Sitio Web"
373,2484,719,911,2023-07-13,"App Móvil"
374,2627,355,2071,2024-08-11,"App Móvil"
375,490,160,1470,2024-07-19,"Agencia"
376,3955,981,2133,2023-04-15,"Sitio Web"
377,3503,270,2610,2024-07-12,"App Móvil"
378,3458,542,2660,2023-06-20,"App Móvil"
379,3313,89,2197,2023-03-21,"App Móvil"
380,4698,554,1951,2024-11-08,"App Móvil"
381,2828,573,2625,2023-05-30,"App Móvil"
382,1552,611,2117,2024-04-24,"Teléfono"
383,3644,66,2105,2024-09-29,"Sitio Web"
384,2691,654,2634,2024-10-11,"Sitio Web"
385,1760,498,1687,2024-05-21,"Sitio Web"
386,1211,872,542,2024-01-03,"App Móvil"
387,3160,758,1617,2024-05-11,"App Móvil"
388,4437,767,2700,2024-02-08,"Teléfono"
389,2788,378,2683,2023-10-19,"Sitio Web"
390,2523,806,2023,2023-05-24,"Teléfono"
391,2881,494,1917,2024-07-26,"Teléfono"
392,3482,312,2353,2023-01-09,"App Móvil"
393,436,234,2142,2023-01-23,"Sitio Web"
394,306,21,856,2023-06-11,"Sitio Web"
395,3930,226,878,2024-05-05,"Sitio Web"
396,4093,211,2772,2023-01-28,"Sitio Web"
397,558,243,2566,2024-02-03,"Teléfono"
398,80,927,2408,2024-04-27,"Sitio Web"
399,626,711,505,2023-05-04,"Teléfono"
400,3722,142,2990,2023-06-19,"App Móvil"
401,1071,289,2272,2024-12-24,"Sitio Web"
402,1255,313,2643,2023-03-27,"App Móvil"
403,4767,59,1604,2024-10-16,"App Móvil"
404,3067,514,722,2023-12-12,"Sitio Web"
405,730,416,1792,2024-08-17,"Agencia"
406,3866,626,2435,2023-10-06,"App Móvil"
407,809,405,534,2024-06-28,"Sitio Web"
408,1547,993,1874,2023-07-02,"Sitio Web"
409,241,645,1919,2023-08-26,"App Móvil"
410,2272,83,928,2023-09-02,"Sitio Web"
411,233,769,423,2024-06-14,"Sitio Web"
412,2032,54,2767,2023-10-12,"App Móvil"
413,2837,901,1655,2024-11-16,"Teléfono"
414,473,987,522,2024-08-18,"Sitio Web"
415,4590,712,41,2023-06-08,"App Móvil"
416,206,212,1394,2024-09-19,"App Móvil"
417,1490,254,407,2023-12-13,"App Móvil"
418,2727,483,511,2024-05-10,"App Móvil"
419,1611,218,1297,2024-09-19,"App Móvil"
420,225,726,2441,2023-08-06,"App Móvil"
421,1158,36,808,2023-06-11,"Sitio Web"
422,4035,74,2710,2023-03-10,"Teléfono"
423,4960,38,141,2024-07-28,"Sitio Web"
424,1605,610,1251,2024-02-29,"Teléfono"
425,859,236,294,2024-02-11,"Sitio Web"
426,1055,360,375,2023-05-02,"Sitio Web"
427,2497,170,1181,2024-06-02,"Agencia"
428,1837,615,2109,2023-07-22,"App Móvil"
429,3975,423,977,2024-11-15,"App Móvil"
430,439,118,943,2024-09-12,"Sitio Web"
431,4290,525,1467,2023-04-27,"Teléfono"
432,2738,279,1882,2024-11-23,"Sitio Web"
433,170,110,2193,2024-08-09,"App Móvil"
434,2300,738,110,2023-07-30,"Sitio Web"
435,4210,307,1953,2024-06-14,"Sitio Web"
436,1390,572,2392,2024-06-03,"Teléfono"
437,4631,204,842,2024-03-26,"Sitio Web"
438,1709,650,1844,2023-09-17,"App Móvil"
439,2127,729,595,2023-03-22,"Agencia"
440,1130,631,72,2024-10-08,"App Móvil"
441,2607,69,1365,2024-05-06,"Sitio Web"
442,4409,211,1265,2023-10-09,"App Móvil"
443,2034,150,2400,2023-11-30,"App Móvil"
444,3046,236,2798,2024-04-29,"Agencia"
445,4381,490,2074,2024-01-05,"App Móvil"
446,2856,540,2554,2024-08-21,"Teléfono"
447,1613,408,1695,2023-07-31,"Teléfono"
448,3772,499,1056,2023-08-15,"App Móvil"
449,867,934,2886,2023-05-28,"App Móvil"
450,1031,481,1502,2023-11-12,"Agencia"
451,1812,155,109,2023-04-22,"App Móvil"
452,2792,333,2085,2024-11-26,"App Móvil"
453,4588,895,2210,2024-05-02,"Teléfono"
454,4141,773,571,2023-09-24,"Sitio Web"
455,2894,866,2359,2023-06-10,"App Móvil"
456,1379,207,1372,2023-07-31,"Sitio Web"
457,4431,614,902,2023-09-13,"Sitio Web"
458,4670,735,701,2024-04-23,"Sitio Web"
459,4889,713,13,2023-08-05,"Sitio Web"
460,3564,93,447,2023-06-15,"Teléfono"
461,2560,875,437,2024-07-30,"App Móvil"
462,998,672,1252,2023-12-09,"Teléfono"
463,2738,744,1947,2024-06-22,"App Móvil"
464,456,24,2476,2023-08-15,"App Móvil"
465,1103,249,2111,2023-03-23,"Sitio Web"
466,4659,66,1355,2023-09-18,"Sitio Web"
467,894,95,2930,2023-01-16,"App Móvil"
468,1302,822,1861,2024-01-13,"Teléfono"
469,1357,851,1602,2023-04-29,"App Móvil"
470,2912,757,234,2024-06-06,"App Móvil"
471,1716,154,384,2023-11-08,"Sitio Web"
472,1011,362,2311,2023-07-26,"App Móvil"
473,3089,579,2589,2024-03-08,"App Móvil"
474,4428,888,220,2024-08-30,"App Móvil"
475,1182,596,2020,2023-12-08,"App Móvil"
476,2558,466,2045,2024-05-12,"Sitio Web"
477,1736,665,2837,2023-10-30,"App Móvil"
478,2954,111,2175,2024-12-15,"App Móvil"
479,2489,407,1697,2023-03-24,"Sitio Web"
480,4585,917,1332,2023-10-13,"App Móvil"
481,345,112,1027,2023-03-05,"Sitio Web"
482,1381,971,2599,2024-10-20,"App Móvil"
483,37,775,2755,2023-09-22,"App Móvil"
484,4443,54,818,2023-06-03,"App Móvil"
485,1955,199,2626,2024-04-10,"Teléfono"
486,3959,435,2388,2023-12-14,"Teléfono"
487,1843,154,1897,2023-07-31,"Teléfono"
488,910,759,1810,2023-09-27,"Sitio Web"
489,4267,864,1647,2024-03-04,"App Móvil"
490,1788,891,986,2024-09-18,"App Móvil"
491,4853,550,307,2023-03-12,"Agencia"
492,4252,574,651,2024-08-14,"App Móvil"
493,4837,490,2074,2023-10-05,"Teléfono"
494,3521,596,2020,2023-01-26,"Sitio Web"
495,2650,902,471,2024-01-22,"App Móvil"
496,3547,167,2834,2024-03-10,"App Móvil"
497,2359,293,2550,2023-08-03,"Teléfono"
498,3515,707,1187,2023-01-24,"App Móvil"
499,370,237,2933,2024-03-03,"Sitio Web"
500,2961,713,181,2023-12-21,"Sitio Web"
501,1729,152,1108,2024-11-04,"Sitio Web"
502,2709,9,2356,2024-02-27,"Sitio Web"
503,841,975,758,2023-04-11,"Sitio Web"
504,875,316,550,2024-08-21,"App Móvil"
505,639,316,1548,2023-10-09,"Sitio Web"
506,895,455,230,2023-11-23,"App Móvil"
507,3729,463,225,2024-12-19,"Sitio Web"
508,2753,722,1806,2024-05-15,"Sitio Web"
509,1333,681,275,2024-07-05,"Teléfono"
510,4993,122,1418,2023-02-14,"Sitio Web"
511,3598,715,2547,2024-08-29,"Sitio Web"
512,1309,89,1817,2024-11-24,"App Móvil"
513,519,337,2266,2024-08-05,"App Móvil"
514,4751,803,428,2023-12-27,"Sitio Web"
515,878,211,2772,2023-11-03,"Sitio Web"
516,2846,951,619,2023-06-05,"App Móvil"
517,3820,291,519,2024-04-28,"App Móvil"
518,2500,206,755,2024-08-01,"App Móvil"
519,3234,423,1125,2023-06-21,"App Móvil"
520,3529,901,1655,2023-07-12,"App Móvil"
521,2042,386,1111,2023-09-06,"Sitio Web"
522,3032,84,2198,2024-09-30,"Sitio Web"
523,3311,560,1590,2024-11-10,"Sitio Web"
524,353,66,151,2024-01-17,"Teléfono"
525,1112,740,1162,2024-01-19,"Sitio Web"
526,3281,469,2492,2023-06-10,"Sitio Web"
527,3889,131,330,2024-07-22,"Sitio Web"
528,467,804,2227,2024-03-05,"App Móvil"
529,2265,823,839,2024-11-29,"Sitio Web"
530,3441,151,1689,2023-10-21,"Sitio Web"
531,1750,301,344,2024-02-24,"Sitio Web"
532,594,236,599,2023-04-08,"Agencia"
533,1254,401,1818,2023-11-01,"Sitio Web"
534,4862,884,114,2023-08-16,"App Móvil"
535,2453,455,361,2024-06-05,"Sitio Web"
536,1714,315,939,2023-04-18,"App Móvil"
537,335,243,1527,2024-03-06,"App Móvil"
538,1013,971,368,2024-06-10,"Agencia"
539,1585,950,217,2024-10-26,"Sitio Web"
540,1432,330,1937,2023-10-06,"Sitio Web"
541,112,176,1293,2024-05-08,"Sitio Web"
542,4509,900,231,2023-06-23,"Sitio Web"
543,4512,253,1834,2024-12-23,"App Móvil"
544,2918,660,1550,2023-12-27,"Sitio Web"
545,4695,999,1152,2024-05-01,"App Móvil"
546,3447,626,965,2024-03-21,"Sitio Web"
547,2154,333,218,2023-03-13,"Teléfono"
548,1214,782,2086,2023-03-21,"Sitio Web"
549,3098,376,215,2023-03-07,"Sitio Web"
550,4076,638,2439,2023-12-22,"Sitio Web"
551,3415,913,1034,2024-01-25,"Sitio Web"
552,2093,815,316,2024-05-18,"Sitio Web"
553,1241,363,164,2024-03-30,"Agencia"
554,1879,675,1657,2023-04-30,"Sitio Web"
555,664,154,1160,2023-01-17,"Agencia"
556,688,21,2704,2023-04-18,"App Móvil"
557,4194,913,2619,2023-06-13,"App Móvil"
558,3511,6,2537,2023-07-27,"Sitio Web"
559,218,299,1631,2024-11-26,"App Móvil"
560,3539,416,1059,2024-11-18,"App Móvil"
