"id_transaccion","cantidad_noches","precio_noche","cantidad_personas","fecha_checkin","fecha_checkout","metodo_pago","estado_transaccion","descuento_aplicado","costo_limpieza","costo_servicio","impuestos","calificacion_huesped","calificacion_anfitrion"
61,1,18027,1,2025-01-10,2025-01-11,"Transferencia bancaria","Completada",19,4915,2704,3786,1,3
62,12,12905,6,2024-12-02,2024-12-14,"Tarjeta de crédito","Completada",17,6602,23229,32521,2,4
63,7,14206,6,2024-01-12,2024-01-19,"Tarjeta de crédito","Cancelada",30,5870,14916,20883,NA,NA
64,11,35667,11,2024-02-21,2024-03-03,"Tarjeta de crédito","Completada",15,7940,58851,82391,3,2
65,3,41122,1,2023-05-06,2023-05-09,"Tarjeta de crédito","Completada",25,5279,18505,25907,5,4
66,10,14416,7,2024-03-14,2024-03-24,"Tarjeta de crédito","Completada",2,2017,21624,30274,1,3
67,8,10896,2,2024-09-18,2024-09-26,"Tarjeta de crédito","Completada",9,2698,13075,18305,2,1
68,4,23754,1,2024-08-09,2024-08-13,"Transferencia bancaria","Completada",20,6229,14252,19953,5,1
69,1,37411,3,2023-02-21,2023-02-22,"Efectivo","Completada",8,4399,5612,7856,5,4
70,10,8447,9,2025-02-25,2025-03-07,"Tarjeta de crédito","Pendiente",13,2265,12670,17739,NA,NA
71,1,15607,5,2024-04-24,2024-04-25,"Tarjeta de crédito","Completada",11,6711,2341,3277,3,3
72,4,58918,3,2024-01-01,2024-01-05,"Tarjeta de crédito","Completada",24,6074,35351,49491,5,4
73,11,11759,1,2024-11-09,2024-11-20,"Tarjeta de crédito","En curso",27,7072,19402,27163,NA,NA
74,14,10433,8,2023-06-05,2023-06-19,"Transferencia bancaria","En curso",25,4981,21909,30673,NA,NA
75,12,57650,4,2023-11-03,2023-11-15,"Tarjeta de crédito","Completada",17,6157,103770,145278,4,4
76,10,29260,2,2024-09-06,2024-09-16,"Tarjeta de crédito","Completada",1,6228,43890,61446,2,3
77,11,54174,5,2024-11-05,2024-11-16,"Tarjeta de crédito","Completada",20,7107,89387,125142,3,1
78,7,8377,9,2023-06-30,2023-07-07,"Tarjeta de crédito","Pendiente",0,7961,8796,12314,NA,NA
79,5,5478,1,2023-12-26,2023-12-31,"Transferencia bancaria","Completada",18,5076,4108,5752,1,5
80,10,11883,3,2024-05-18,2024-05-28,"Transferencia bancaria","Completada",22,4021,17824,24954,5,1
81,11,29935,3,2023-12-15,2023-12-26,"Tarjeta de crédito","Completada",17,5098,49393,69150,4,5
82,1,36013,3,2024-07-15,2024-07-16,"Transferencia bancaria","Completada",30,5033,5402,7563,5,4
83,7,25267,6,2024-04-01,2024-04-08,"Tarjeta de crédito","Completada",2,7052,26530,37142,4,4
84,1,7617,3,2024-07-14,2024-07-15,"Tarjeta de crédito","En curso",13,6605,1143,1600,NA,NA
85,5,28610,6,2023-04-10,2023-04-15,"Tarjeta de crédito","Completada",9,5957,21458,30040,4,5
86,2,45411,3,2024-12-24,2024-12-26,"Tarjeta de crédito","Completada",21,3796,13623,19073,3,1
87,9,15036,1,2024-11-20,2024-11-29,"Billetera virtual","Completada",13,2930,20299,28418,4,4
88,4,32917,10,2023-11-18,2023-11-22,"Efectivo","Completada",15,5197,19750,27650,4,4
89,6,21603,3,2023-11-19,2023-11-25,"Transferencia bancaria","Pendiente",2,4635,19443,27220,NA,NA
90,13,43823,4,2023-08-07,2023-08-20,"Tarjeta de crédito","Completada",5,5325,85455,119637,3,1
91,2,43757,4,2023-06-05,2023-06-07,"Tarjeta de crédito","Completada",25,2556,13127,18378,1,4
92,5,13496,4,2024-02-06,2024-02-11,"Efectivo","Cancelada",22,7081,10122,14171,NA,NA
93,4,42708,1,2024-09-30,2024-10-04,"Tarjeta de crédito","Completada",9,3765,25625,35875,3,1
94,1,35636,3,2024-12-22,2024-12-23,"Transferencia bancaria","Pendiente",26,6939,5345,7484,NA,NA
95,12,31059,1,2024-07-04,2024-07-16,"Billetera virtual","Completada",22,5888,55906,78269,5,1
96,9,16630,7,2023-04-13,2023-04-22,"Tarjeta de crédito","Cancelada",29,2258,22450,31431,NA,NA
97,14,8775,2,2023-10-25,2023-11-08,"Tarjeta de crédito","Completada",25,7258,18428,25798,3,5
98,6,5261,1,2024-01-18,2024-01-24,"Tarjeta de crédito","Completada",7,2406,4735,6629,5,2
99,9,10742,2,2025-02-15,2025-02-24,"Tarjeta de crédito","Completada",20,6069,14502,20302,4,5
100,3,61068,9,2023-06-11,2023-06-14,"Tarjeta de crédito","Completada",9,6485,27481,38473,1,5
101,9,49845,3,2023-08-08,2023-08-17,"Billetera virtual","En curso",22,7402,67291,94207,NA,NA
102,6,16883,3,2025-03-05,2025-03-11,"Billetera virtual","Pendiente",20,7370,15195,21273,NA,NA
103,7,49246,8,2024-03-21,2024-03-28,"Billetera virtual","Pendiente",24,7154,51708,72392,NA,NA
104,13,8059,4,2024-06-14,2024-06-27,"Tarjeta de crédito","Cancelada",4,2262,15715,22001,NA,NA
105,1,14032,1,2024-08-02,2024-08-03,"Billetera virtual","En curso",11,7168,2105,2947,NA,NA
106,3,20223,8,2023-12-11,2023-12-14,"Tarjeta de crédito","Completada",6,6026,9100,12740,3,4
107,6,30072,4,2023-12-21,2023-12-27,"Efectivo","Completada",7,7625,27065,37891,1,2
108,1,43279,5,2024-08-15,2024-08-16,"Tarjeta de crédito","Completada",30,6879,6492,9089,1,5
109,12,50620,7,2023-12-12,2023-12-24,"Tarjeta de crédito","Completada",15,7085,91116,127562,3,4
110,13,7682,7,2024-07-06,2024-07-19,"Tarjeta de crédito","Completada",0,7854,14980,20972,1,1
111,2,11888,2,2023-10-25,2023-10-27,"Tarjeta de crédito","Completada",27,2689,3566,4993,2,4
112,8,26798,5,2023-09-05,2023-09-13,"Transferencia bancaria","Completada",20,7866,32158,45021,3,2
113,1,6644,2,2024-03-31,2024-04-01,"Tarjeta de crédito","Completada",21,6124,997,1395,2,3
114,2,49575,4,2024-06-18,2024-06-20,"Tarjeta de crédito","En curso",0,7283,14872,20822,NA,NA
115,10,43396,2,2024-06-12,2024-06-22,"Tarjeta de crédito","Completada",16,4355,65094,91132,5,3
116,6,53364,10,2024-02-07,2024-02-13,"Transferencia bancaria","Completada",1,3574,48028,67239,4,1
117,9,35987,5,2024-10-07,2024-10-16,"Tarjeta de crédito","Completada",23,3945,48582,68015,1,4
118,12,35888,6,2024-01-29,2024-02-10,"Tarjeta de crédito","Completada",0,7410,64598,90438,2,1
119,4,16967,2,2023-02-16,2023-02-20,"Billetera virtual","Completada",13,4136,10180,14252,1,4
120,3,14085,9,2024-11-20,2024-11-23,"Tarjeta de crédito","Completada",16,3131,6338,8874,2,1
121,3,21765,9,2024-04-26,2024-04-29,"Transferencia bancaria","Completada",18,2075,9794,13712,4,1
122,9,13400,6,2024-04-09,2024-04-18,"Tarjeta de crédito","Completada",14,2020,18090,25326,1,5
123,12,11812,4,2024-05-20,2024-06-01,"Tarjeta de crédito","Completada",6,7881,21262,29766,2,1
124,7,10227,2,2024-02-21,2024-02-28,"Billetera virtual","Completada",0,7548,10738,15034,1,4
125,7,22065,7,2024-01-20,2024-01-27,"Tarjeta de crédito","Completada",14,4798,23168,32436,3,1
126,14,27031,2,2023-10-23,2023-11-06,"Tarjeta de crédito","Completada",2,7865,56765,79471,4,1
127,4,48834,1,2025-02-12,2025-02-16,"Transferencia bancaria","Completada",9,4560,29300,41021,4,5
128,14,50738,5,2024-12-23,2025-01-06,"Transferencia bancaria","Cancelada",9,3616,106550,149170,NA,NA
129,2,7223,6,2024-11-03,2024-11-05,"Transferencia bancaria","Completada",15,2837,2167,3034,3,3
130,5,9889,1,2024-05-10,2024-05-15,"Transferencia bancaria","Pendiente",24,6152,7417,10383,NA,NA
131,1,24278,5,2024-02-22,2024-02-23,"Efectivo","Completada",27,6237,3642,5098,5,1
132,1,27553,9,2024-10-04,2024-10-05,"Billetera virtual","Completada",28,5059,4133,5786,4,1
133,1,65339,1,2025-02-01,2025-02-02,"Tarjeta de crédito","Completada",1,6071,9801,13721,2,3
134,12,6255,7,2025-02-23,2025-03-07,"Tarjeta de crédito","Completada",8,5088,11259,15763,2,2
135,2,4507,5,2024-11-24,2024-11-26,"Tarjeta de crédito","En curso",12,6952,1352,1893,NA,NA
136,6,14508,4,2025-01-26,2025-02-01,"Efectivo","Completada",23,6041,13057,18280,2,5
137,2,15208,1,2023-03-06,2023-03-08,"Transferencia bancaria","En curso",12,4042,4562,6387,NA,NA
138,14,11249,6,2024-06-06,2024-06-20,"Tarjeta de crédito","Pendiente",27,7893,23623,33072,NA,NA
139,5,10889,6,2024-04-17,2024-04-22,"Billetera virtual","Completada",28,7991,8167,11433,5,5
140,9,23271,5,2024-12-01,2024-12-10,"Tarjeta de crédito","Completada",27,3243,31416,43982,4,4
141,14,11773,6,2023-12-29,2024-01-12,"Tarjeta de crédito","Completada",20,2803,24723,34613,4,4
142,4,34576,8,2023-10-29,2023-11-02,"Transferencia bancaria","Completada",29,3438,20746,29044,1,5
143,14,11602,4,2023-08-01,2023-08-15,"Efectivo","Completada",2,7751,24364,34110,1,2
144,12,10438,1,2023-06-26,2023-07-08,"Transferencia bancaria","Completada",18,2528,18788,26304,5,1
145,7,10568,1,2023-08-09,2023-08-16,"Tarjeta de crédito","Completada",2,5549,11096,15535,5,5
146,13,22407,7,2023-11-29,2023-12-12,"Tarjeta de crédito","Completada",12,2077,43694,61171,2,4
147,12,41513,3,2024-06-06,2024-06-18,"Transferencia bancaria","Pendiente",3,5124,74723,104613,NA,NA
148,12,21814,3,2023-10-05,2023-10-17,"Tarjeta de crédito","Completada",4,6770,39265,54971,1,2
149,1,67412,2,2024-03-21,2024-03-22,"Tarjeta de crédito","Completada",29,4119,10112,14157,3,5
150,9,37059,7,2024-11-28,2024-12-07,"Tarjeta de crédito","Cancelada",17,3414,50030,70042,NA,NA
151,10,10978,1,2024-07-22,2024-08-01,"Tarjeta de crédito","Completada",17,4425,16467,23054,2,2
152,13,11445,3,2024-02-20,2024-03-04,"Tarjeta de crédito","Completada",9,4742,22318,31245,3,5
153,9,48136,2,2024-02-24,2024-03-04,"Tarjeta de crédito","Completada",0,3799,64984,90977,1,5
154,8,10797,6,2024-04-19,2024-04-27,"Billetera virtual","Completada",30,3846,12956,18139,5,2
155,7,10212,4,2024-03-11,2024-03-18,"Tarjeta de crédito","Completada",7,6938,10723,15012,2,2
156,3,44924,2,2023-06-05,2023-06-08,"Transferencia bancaria","En curso",20,7710,20216,28302,NA,NA
157,4,20887,8,2024-01-25,2024-01-29,"Transferencia bancaria","Completada",4,5428,12532,17545,5,5
158,7,9301,8,2024-11-07,2024-11-14,"Tarjeta de crédito","Pendiente",8,7725,9766,13672,NA,NA
159,13,8497,1,2023-03-25,2023-04-07,"Tarjeta de crédito","Completada",9,4042,16569,23197,2,3
160,2,11170,4,2023-06-18,2023-06-20,"Tarjeta de crédito","Completada",5,6956,3351,4691,2,5
161,5,36823,1,2024-05-16,2024-05-21,"Tarjeta de crédito","Completada",17,6817,27617,38664,4,2
162,3,50617,1,2024-11-21,2024-11-24,"Tarjeta de crédito","Completada",19,2538,22778,31889,2,4
163,4,21501,1,2024-04-14,2024-04-18,"Tarjeta de crédito","Pendiente",22,5792,12901,18061,NA,NA
164,10,23524,3,2023-03-29,2023-04-08,"Tarjeta de crédito","Completada",13,7260,35286,49400,5,5
165,5,8774,2,2023-06-13,2023-06-18,"Tarjeta de crédito","Completada",1,5746,6580,9213,5,3
166,7,17318,9,2024-10-13,2024-10-20,"Efectivo","En curso",29,6389,18184,25457,NA,NA
167,14,15806,3,2024-04-14,2024-04-28,"Efectivo","Completada",30,7980,33193,46470,5,3
168,7,19504,1,2024-10-30,2024-11-06,"Tarjeta de crédito","Completada",18,7732,20479,28671,2,1
169,8,17643,3,2023-08-23,2023-08-31,"Tarjeta de crédito","Cancelada",1,5289,21172,29640,NA,NA
170,13,17693,1,2024-12-31,2025-01-13,"Transferencia bancaria","Completada",5,7269,34501,48302,3,1
171,11,41738,3,2025-01-24,2025-02-04,"Tarjeta de crédito","Completada",6,4634,68868,96415,4,4
172,10,27861,2,2024-11-13,2024-11-23,"Tarjeta de crédito","Pendiente",19,5199,41792,58508,NA,NA
173,10,10904,1,2024-12-24,2025-01-03,"Transferencia bancaria","Completada",19,3221,16356,22898,1,1
174,4,56535,4,2023-10-25,2023-10-29,"Tarjeta de crédito","Completada",20,2041,33921,47489,3,5
175,12,23559,1,2025-01-01,2025-01-13,"Tarjeta de crédito","En curso",6,2380,42406,59369,NA,NA
176,7,9556,10,2024-09-17,2024-09-24,"Tarjeta de crédito","Pendiente",17,6373,10034,14047,NA,NA
177,14,55093,2,2023-10-14,2023-10-28,"Transferencia bancaria","Completada",21,2696,115695,161973,4,3
178,7,30586,8,2023-07-26,2023-08-02,"Efectivo","Completada",12,2022,32115,44961,2,3
179,6,18084,4,2024-03-28,2024-04-03,"Billetera virtual","Completada",3,2561,16276,22786,4,1
180,5,20242,2,2023-03-10,2023-03-15,"Transferencia bancaria","Completada",9,3950,15182,21254,2,2
181,1,12391,2,2024-05-12,2024-05-13,"Tarjeta de crédito","En curso",29,2653,1859,2602,NA,NA
182,2,26961,3,2024-05-17,2024-05-19,"Tarjeta de crédito","Completada",2,3436,8088,11324,5,2
183,10,19976,3,2023-07-24,2023-08-03,"Tarjeta de crédito","Completada",20,2905,29964,41950,1,2
184,5,64150,7,2024-12-01,2024-12-06,"Tarjeta de crédito","Completada",10,4923,48112,67358,1,1
185,12,12789,2,2023-07-13,2023-07-25,"Tarjeta de crédito","Completada",7,6991,23020,32228,5,5
186,4,8123,2,2023-07-21,2023-07-25,"Transferencia bancaria","En curso",19,2468,4874,6823,NA,NA
187,7,17902,4,2023-10-26,2023-11-02,"Tarjeta de crédito","En curso",22,2988,18797,26316,NA,NA
188,4,29894,1,2023-09-22,2023-09-26,"Tarjeta de crédito","Completada",26,3324,17936,25111,3,4
189,11,32103,2,2024-05-26,2024-06-06,"Tarjeta de crédito","Completada",16,3563,52970,74158,4,3
190,12,45919,4,2024-10-12,2024-10-24,"Transferencia bancaria","Completada",14,5149,82654,115716,1,4
191,14,34610,1,2025-01-23,2025-02-06,"Tarjeta de crédito","Pendiente",1,2007,72681,101753,NA,NA
192,5,20957,4,2023-05-18,2023-05-23,"Tarjeta de crédito","Completada",28,5872,15718,22005,2,5
193,10,24434,1,2023-08-20,2023-08-30,"Tarjeta de crédito","Cancelada",10,3802,36651,51311,NA,NA
194,3,33100,4,2025-01-03,2025-01-06,"Tarjeta de crédito","Cancelada",14,5360,14895,20853,NA,NA
195,1,32111,9,2023-09-02,2023-09-03,"Transferencia bancaria","Completada",11,5806,4817,6743,3,5
196,14,7211,7,2024-11-17,2024-12-01,"Tarjeta de crédito","Pendiente",12,3555,15143,21200,NA,NA
197,9,23520,5,2024-08-11,2024-08-20,"Billetera virtual","Completada",5,4976,31752,44453,2,3
198,9,6458,2,2023-10-02,2023-10-11,"Tarjeta de crédito","Cancelada",13,4581,8718,12206,NA,NA
199,7,27183,1,2024-09-20,2024-09-27,"Transferencia bancaria","Completada",20,7015,28542,39959,3,4
200,14,21730,4,2024-06-18,2024-07-02,"Efectivo","Pendiente",22,6952,45633,63886,NA,NA
201,1,18644,5,2024-12-12,2024-12-13,"Tarjeta de crédito","Completada",29,4199,2797,3915,1,5
202,7,8373,8,2024-10-29,2024-11-05,"Tarjeta de crédito","Completada",20,5364,8792,12308,3,1
203,14,46441,2,2024-12-05,2024-12-19,"Tarjeta de crédito","Completada",9,5870,97526,136537,1,4
204,12,30495,5,2023-02-03,2023-02-15,"Transferencia bancaria","Completada",24,6390,54891,76847,1,3
205,1,17728,3,2024-02-05,2024-02-06,"Tarjeta de crédito","Completada",14,6733,2659,3723,4,4
206,4,35773,5,2023-09-01,2023-09-05,"Tarjeta de crédito","Completada",7,3507,21464,30049,3,2
207,10,9352,2,2023-10-22,2023-11-01,"Tarjeta de crédito","Completada",27,2556,14028,19639,2,5
208,3,25569,6,2025-01-11,2025-01-14,"Tarjeta de crédito","En curso",7,3660,11506,16108,NA,NA
209,5,11648,6,2024-04-28,2024-05-03,"Efectivo","Completada",8,7508,8736,12230,5,1
210,12,18746,6,2024-02-17,2024-02-29,"Tarjeta de crédito","Completada",10,3571,33743,47240,1,3
211,11,37790,4,2023-06-15,2023-06-26,"Tarjeta de crédito","En curso",28,7520,62354,87295,NA,NA
212,1,8399,1,2024-07-28,2024-07-29,"Tarjeta de crédito","Completada",12,3597,1260,1764,2,2
213,4,51465,2,2024-01-05,2024-01-09,"Billetera virtual","Cancelada",9,7703,30879,43231,NA,NA
214,2,34039,1,2024-09-04,2024-09-06,"Efectivo","Completada",28,5051,10212,14296,2,1
215,5,18877,2,2025-03-12,2025-03-17,"Tarjeta de crédito","Pendiente",23,2142,14158,19821,NA,NA
216,8,25631,7,2023-03-10,2023-03-18,"Transferencia bancaria","Completada",28,7279,30757,43060,2,3
217,14,51629,1,2024-08-03,2024-08-17,"Transferencia bancaria","En curso",26,5268,108421,151789,NA,NA
218,10,46690,3,2023-04-26,2023-05-06,"Billetera virtual","Completada",29,6906,70035,98049,3,5
219,7,26036,8,2023-03-19,2023-03-26,"Tarjeta de crédito","Completada",5,3029,27338,38273,4,5
220,1,30811,9,2024-10-29,2024-10-30,"Efectivo","Cancelada",9,5533,4622,6470,NA,NA
221,6,32675,3,2024-12-05,2024-12-11,"Tarjeta de crédito","Completada",9,2094,29408,41170,3,4
222,6,34100,2,2023-10-05,2023-10-11,"Tarjeta de crédito","Cancelada",9,4368,30690,42966,NA,NA
223,9,24487,2,2024-06-02,2024-06-11,"Tarjeta de crédito","Cancelada",12,6491,33057,46280,NA,NA
224,9,24350,7,2023-11-18,2023-11-27,"Transferencia bancaria","Completada",4,2495,32872,46022,5,1
225,10,38414,2,2023-07-05,2023-07-15,"Transferencia bancaria","Completada",13,7891,57621,80669,2,5
226,9,28424,1,2024-10-11,2024-10-20,"Tarjeta de crédito","Pendiente",1,5597,38372,53721,NA,NA
227,14,29411,1,2024-08-16,2024-08-30,"Tarjeta de crédito","Cancelada",23,4010,61763,86468,NA,NA
228,9,25262,5,2023-11-19,2023-11-28,"Tarjeta de crédito","Pendiente",10,3243,34104,47745,NA,NA
229,8,23722,6,2023-11-09,2023-11-17,"Billetera virtual","Completada",8,4837,28466,39853,2,4
230,11,14639,3,2024-12-05,2024-12-16,"Tarjeta de crédito","Completada",2,7910,24154,33816,3,4
231,5,4856,5,2025-01-01,2025-01-06,"Efectivo","Completada",12,6699,3642,5099,1,2
232,9,10848,6,2024-12-01,2024-12-10,"Efectivo","Completada",18,4443,14645,20503,5,5
233,13,56800,11,2024-03-04,2024-03-17,"Tarjeta de crédito","Completada",3,5877,110760,155064,3,5
234,9,5655,1,2024-07-06,2024-07-15,"Tarjeta de crédito","En curso",13,6722,7634,10688,NA,NA
235,1,27733,3,2023-05-31,2023-06-01,"Billetera virtual","En curso",27,4221,4160,5824,NA,NA
236,7,47041,2,2024-09-26,2024-10-03,"Billetera virtual","Completada",6,5248,49393,69150,4,4
237,3,4609,3,2023-05-28,2023-05-31,"Billetera virtual","Cancelada",18,7821,2074,2904,NA,NA
238,3,8177,1,2023-07-18,2023-07-21,"Efectivo","Completada",30,5244,3680,5152,2,4
239,13,40221,3,2023-07-18,2023-07-31,"Transferencia bancaria","Completada",1,2580,78431,109803,2,5
240,11,18043,5,2023-09-10,2023-09-21,"Tarjeta de crédito","Completada",18,5527,29771,41679,2,3
241,11,48921,2,2024-02-16,2024-02-27,"Tarjeta de crédito","Completada",25,4035,80720,113008,1,3
242,3,6628,6,2023-12-29,2024-01-01,"Tarjeta de crédito","En curso",16,2049,2983,4176,NA,NA
243,14,48316,9,2024-08-31,2024-09-14,"Tarjeta de crédito","Completada",23,3898,101464,142049,3,5
244,3,6811,1,2023-09-09,2023-09-12,"Tarjeta de crédito","Completada",10,4111,3065,4291,5,3
245,3,41946,2,2024-03-17,2024-03-20,"Tarjeta de crédito","Completada",24,2404,18876,26426,4,3
246,8,13915,1,2023-04-13,2023-04-21,"Tarjeta de crédito","Completada",19,3886,16698,23377,4,4
247,12,5281,1,2024-04-05,2024-04-17,"Efectivo","Completada",3,4180,9506,13308,5,3
248,14,39129,4,2023-10-21,2023-11-04,"Tarjeta de crédito","Completada",1,3878,82171,115039,2,3
249,5,4855,4,2024-08-13,2024-08-18,"Efectivo","Completada",5,3061,3641,5098,5,2
250,3,12189,2,2023-03-27,2023-03-30,"Tarjeta de crédito","Cancelada",30,6917,5485,7679,NA,NA
251,11,44020,3,2024-04-29,2024-05-10,"Billetera virtual","Completada",18,2026,72633,101686,1,2
252,7,21518,6,2024-01-09,2024-01-16,"Tarjeta de crédito","En curso",10,5228,22594,31631,NA,NA
253,12,22373,8,2024-11-11,2024-11-23,"Transferencia bancaria","Completada",30,2063,40271,56380,1,2
254,12,14488,2,2023-04-04,2023-04-16,"Billetera virtual","Completada",18,3208,26078,36510,3,5
255,9,31119,1,2024-01-02,2024-01-11,"Tarjeta de crédito","Completada",3,6487,42011,58815,5,5
