"id_casa","id_arrendatario","tipo_vivienda","provincia_ubicacion","capacidad_maxima","numero_habitaciones","numero_banos","precio_base_noche","categoria","distancia_centro_km","anio_construccion","amenities","calificacion_limpieza","calificacion_ubicacion","calificacion_general","mascotas_permitidas","fumadores_permitidos","eventos_permitidos"
39,133,"Chalet","Misiones",5,3,1,5571,"Económica",1.9,1973,"Seguridad 24hs,Lavadora,Gimnasio,Vista al mar",1.6,1.6,3.8,FALSE,FALSE,FALSE
40,485,"Departamento","Catamarca",4,6,3,23530,"Premium",7.3,1980,"TV,Calefacción,Lavadora",3.8,1.5,2.6,FALSE,FALSE,FALSE
41,105,"Departamento","Tierra del Fuego",7,3,4,50263,"Ultra lujo",5.9,1987,"Lavadora,Jacuzzi",3.8,2.6,4.5,TRUE,FALSE,FALSE
42,971,"Cabaña","Jujuy",5,6,3,16016,"Estándar",7,1965,"Jacuzzi,Gimnasio",2.7,1.8,1,FALSE,FALSE,TRUE
43,728,"Casa","La Pampa",7,2,1,17192,"Estándar",9.1,2005,"WiFi,Seguridad 24hs,Jacuzzi",1.1,2.5,4.9,FALSE,FALSE,FALSE
44,510,"Cabaña","Formosa",12,6,1,7180,"Económica",8.1,2012,"Cocina equipada,Calefacción,Aire acondicionado,Parrilla,Gimnasio,Pileta,TV",3.2,1.1,1.3,FALSE,FALSE,FALSE
45,774,"Casa","Jujuy",3,6,3,9408,"Económica",2.4,1973,"Pileta,Acceso a playa,Calefacción",2.5,3.1,3.9,TRUE,FALSE,FALSE
46,24,"Departamento","Córdoba",4,1,3,8019,"Económica",10.7,1950,"Calefacción,Seguridad 24hs,Aire acondicionado",3.7,1.3,1.5,FALSE,FALSE,FALSE
47,340,"Chalet","Buenos Aires",8,1,3,53447,"Ultra lujo",6.1,1980,"Seguridad 24hs,Acceso a playa,Aire acondicionado",2.9,3.7,2.3,TRUE,FALSE,FALSE
48,440,"Departamento","Córdoba",7,1,3,8161,"Económica",9.4,2019,"TV,Jacuzzi,Vista al mar,Lavadora",1.8,2.3,3.7,TRUE,FALSE,FALSE
49,155,"Casa","Entre Ríos",5,3,2,32562,"Lujo",13.5,1986,"Pileta,Terraza",3.6,3.4,3.3,TRUE,FALSE,FALSE
50,825,"Departamento","Formosa",11,4,2,13653,"Estándar",8.9,2021,"Pileta,Calefacción,Gimnasio,Cocina equipada,WiFi,Terraza,Seguridad 24hs,TV",4.4,2.8,4,TRUE,FALSE,FALSE
51,334,"Loft","Chaco",7,4,1,5052,"Económica",11,1961,"Calefacción,Aire acondicionado,WiFi,Cocina equipada,Vista al mar,Pileta",4.7,4.3,2.4,TRUE,FALSE,TRUE
52,334,"Chalet","Chaco",5,3,2,14581,"Estándar",2.9,1982,"Pileta,Lavadora,Terraza,Acceso a playa,Gimnasio,Calefacción",4.4,3.9,2.6,FALSE,FALSE,FALSE
53,187,"Loft","Neuquén",11,4,4,25770,"Premium",2.6,1961,"Cocina equipada,Lavadora,Seguridad 24hs,Estacionamiento",4.6,3.4,3.1,TRUE,FALSE,FALSE
54,448,"Loft","Santa Fe",6,3,1,35649,"Lujo",12.7,1977,"Seguridad 24hs,Terraza,WiFi,Estacionamiento,Pileta,Lavadora",2.3,2,3.3,FALSE,FALSE,TRUE
55,900,"Loft","Misiones",2,3,2,12329,"Estándar",3.5,1995,"Calefacción,TV,Seguridad 24hs,Terraza,WiFi,Jacuzzi",4.5,2.2,1.6,FALSE,FALSE,FALSE
56,12,"Loft","Formosa",5,4,3,59607,"Ultra lujo",2.5,1992,"Lavadora,Estacionamiento,Gimnasio",1.2,1.5,3.3,TRUE,FALSE,TRUE
57,708,"Departamento","Tucumán",2,3,3,39585,"Ultra lujo",13.3,2008,"Vista al mar,Jacuzzi,Gimnasio,Pileta,WiFi,Lavadora,Estacionamiento,Seguridad 24hs",4.4,1.6,4.1,TRUE,FALSE,FALSE
58,376,"Departamento","Neuquén",7,3,4,28451,"Lujo",11.8,1983,"Estacionamiento,Terraza,Parrilla,Cocina equipada",1.7,1.8,4.2,TRUE,FALSE,TRUE
59,992,"Departamento","Tucumán",4,2,4,27675,"Premium",4.8,2015,"Cocina equipada,Seguridad 24hs,Pileta,Acceso a playa,Gimnasio,Vista al mar,Lavadora",3.5,2.4,3.2,FALSE,FALSE,FALSE
60,405,"Loft","Tucumán",9,2,2,6770,"Económica",14.3,2006,"Seguridad 24hs,Cocina equipada,Acceso a playa,Lavadora,Terraza,Vista al mar",4.1,1.9,4,TRUE,FALSE,TRUE
61,575,"Casa","Mendoza",12,6,3,38323,"Lujo",9.3,1971,"Estacionamiento,Cocina equipada,Pileta,TV",3.9,2.6,1.5,TRUE,TRUE,FALSE
62,833,"Cabaña","San Luis",7,4,1,26879,"Lujo",14.4,2003,"Calefacción,Parrilla,Terraza,WiFi,Jacuzzi,Gimnasio",3.5,2.3,1.3,FALSE,FALSE,TRUE
63,795,"Cabaña","San Luis",5,4,2,35253,"Lujo",1.8,2016,"Acceso a playa,Jacuzzi,Vista al mar,Gimnasio,Parrilla,Aire acondicionado,TV,Pileta",1.2,2.2,2.4,FALSE,FALSE,TRUE
64,867,"Loft","Jujuy",6,4,3,5984,"Económica",3.2,1953,"Terraza,WiFi",3.3,1.8,4.8,TRUE,FALSE,FALSE
65,360,"Chalet","Santa Cruz",7,3,2,7897,"Económica",0.3,2003,"TV,Calefacción,Gimnasio,Acceso a playa,Vista al mar",3.7,1.6,2,TRUE,TRUE,FALSE
66,157,"Departamento","Catamarca",4,2,1,32177,"Lujo",2.6,1983,"Aire acondicionado,TV",1.4,3.9,4.5,FALSE,FALSE,FALSE
67,179,"Cabaña","San Luis",4,2,4,20759,"Premium",9.3,1952,"Gimnasio,WiFi,Aire acondicionado,Estacionamiento",2.9,2.1,4.9,TRUE,TRUE,FALSE
68,828,"Casa","Corrientes",10,2,3,8003,"Económica",3.1,2003,"Jacuzzi,Acceso a playa,Gimnasio,Pileta,Calefacción,Vista al mar,TV,Lavadora",3.3,4.2,1.9,TRUE,FALSE,FALSE
69,860,"Casa","Mendoza",10,5,1,32004,"Lujo",0.7,1992,"Cocina equipada,Estacionamiento",1.2,4.6,2.8,TRUE,TRUE,FALSE
70,105,"Chalet","Neuquén",6,4,1,48652,"Ultra lujo",0.9,1987,"Parrilla,Gimnasio,Vista al mar,Cocina equipada,TV",4.6,1.6,1.7,FALSE,FALSE,FALSE
71,734,"Loft","Tierra del Fuego",12,3,4,22796,"Premium",5.3,1957,"Jacuzzi,Acceso a playa,Cocina equipada,Terraza,Estacionamiento,WiFi,Vista al mar",2,1.9,3.2,FALSE,FALSE,TRUE
72,311,"Casa","Santa Fe",7,5,4,10488,"Estándar",3.6,2011,"Gimnasio,Terraza,WiFi,Cocina equipada,Pileta,Seguridad 24hs,Acceso a playa,Vista al mar",2,3.9,2.3,FALSE,FALSE,TRUE
73,229,"Loft","Santa Cruz",5,6,1,21156,"Premium",5.2,2022,"Pileta,Seguridad 24hs,Cocina equipada,Estacionamiento,Parrilla,Lavadora,Jacuzzi",1.6,3.5,1.3,TRUE,FALSE,FALSE
74,661,"Chalet","San Juan",7,6,1,19320,"Estándar",14.8,1992,"Pileta,Lavadora,Terraza,Acceso a playa,Aire acondicionado,Calefacción,Estacionamiento,TV",1.3,3.7,4.4,FALSE,TRUE,FALSE
75,618,"Chalet","Formosa",12,1,4,36682,"Ultra lujo",4.5,1978,"Pileta,Seguridad 24hs,Parrilla,TV,Vista al mar",4,4.1,4.2,FALSE,FALSE,FALSE
76,866,"Chalet","Misiones",7,5,4,28882,"Lujo",14.7,1982,"Terraza,Acceso a playa,Aire acondicionado",2.8,3.5,3.7,FALSE,FALSE,FALSE
77,883,"Casa","Buenos Aires",12,2,1,39824,"Lujo",1.6,1953,"Gimnasio,Calefacción,TV",2.4,1.6,4.3,FALSE,FALSE,FALSE
78,198,"Casa","CABA",9,2,1,45935,"Ultra lujo",0.1,2010,"Cocina equipada,Aire acondicionado,Terraza,Gimnasio,Lavadora,Acceso a playa,Estacionamiento",4.7,4.3,2.5,FALSE,FALSE,FALSE
79,19,"Departamento","Entre Ríos",5,6,2,37034,"Lujo",11.2,2003,"Seguridad 24hs,Gimnasio,TV",4.4,1.2,2.6,FALSE,FALSE,FALSE
80,643,"Cabaña","Formosa",9,1,3,35860,"Lujo",5.4,1996,"WiFi,Gimnasio,Parrilla,Calefacción,Aire acondicionado,TV,Estacionamiento,Jacuzzi",2,4.5,2,TRUE,FALSE,FALSE
81,451,"Departamento","Chaco",5,1,4,19711,"Premium",2.1,1981,"Gimnasio,Pileta,Calefacción",4.7,2.7,3.6,TRUE,FALSE,FALSE
82,693,"Departamento","Santa Cruz",3,2,3,18450,"Estándar",0.1,1994,"Pileta,Jacuzzi,Terraza,Aire acondicionado,Calefacción,TV",1.9,3.3,3.2,TRUE,FALSE,TRUE
83,192,"Casa","Córdoba",11,5,4,19062,"Premium",6,1996,"Jacuzzi,TV,Seguridad 24hs",1.4,4.8,1.7,FALSE,FALSE,FALSE
84,662,"Departamento","Catamarca",7,4,4,47038,"Ultra lujo",6.4,1992,"Gimnasio,Jacuzzi,WiFi,Estacionamiento,Vista al mar,Calefacción,TV",1.2,1.5,4.3,TRUE,FALSE,FALSE
85,161,"Chalet","Santa Cruz",9,4,4,26432,"Lujo",12.5,1977,"Jacuzzi,Pileta,Terraza,Vista al mar,TV,Lavadora,Aire acondicionado,Calefacción",1,3.2,2.1,FALSE,FALSE,FALSE
86,462,"Cabaña","Jujuy",6,4,4,25392,"Premium",9.3,1971,"Pileta,Estacionamiento,Calefacción,Seguridad 24hs,Terraza,Cocina equipada,Lavadora",4.6,1.1,4.9,TRUE,FALSE,FALSE
87,285,"Departamento","Neuquén",10,3,2,10743,"Económica",3.5,2019,"Parrilla,Pileta,Jacuzzi,WiFi,Cocina equipada",4.7,4.5,4.6,TRUE,FALSE,FALSE
88,441,"Casa","Salta",3,4,4,41954,"Ultra lujo",5,1958,"Cocina equipada,Aire acondicionado,TV",1.2,2.9,1.3,FALSE,FALSE,TRUE
89,899,"Chalet","Formosa",4,3,1,39045,"Ultra lujo",5,2005,"WiFi,Terraza,Calefacción",5,5,1.3,FALSE,FALSE,FALSE
90,484,"Casa","Tierra del Fuego",10,6,2,26160,"Premium",4.9,1984,"Acceso a playa,Cocina equipada,Vista al mar,Pileta,Jacuzzi,Lavadora",2.3,2.5,4.5,FALSE,FALSE,FALSE
91,178,"Chalet","Neuquén",10,4,3,35269,"Ultra lujo",6.6,2010,"Calefacción,Seguridad 24hs,TV",4.2,1.3,3.5,TRUE,FALSE,FALSE
92,133,"Loft","San Juan",4,3,4,46305,"Ultra lujo",10.5,1961,"Acceso a playa,Aire acondicionado,Parrilla,Pileta,Estacionamiento",2,5,4.2,TRUE,FALSE,FALSE
93,679,"Cabaña","Neuquén",10,4,4,10147,"Económica",5.8,1952,"Vista al mar,Terraza",1.5,1.9,4.5,TRUE,FALSE,FALSE
94,334,"Departamento","Corrientes",8,2,2,25238,"Premium",14.9,2019,"Aire acondicionado,Terraza,Parrilla,Cocina equipada,Seguridad 24hs,Pileta,Gimnasio",5,3.7,1.5,TRUE,FALSE,FALSE
95,661,"Chalet","Misiones",7,6,4,11506,"Económica",14.1,2021,"Lavadora,TV,Acceso a playa,Estacionamiento,Calefacción,Vista al mar,Seguridad 24hs,Gimnasio",1.2,1,1.6,TRUE,FALSE,FALSE
96,811,"Casa","Córdoba",8,3,3,20050,"Premium",0.1,1966,"Jacuzzi,Calefacción",1.4,3.7,2,TRUE,FALSE,FALSE
97,308,"Cabaña","Santa Fe",6,5,1,14021,"Estándar",11.4,1984,"Jacuzzi,Gimnasio,Parrilla",4,2.9,2.6,FALSE,FALSE,TRUE
98,182,"Cabaña","Jujuy",8,6,1,11176,"Estándar",7.3,2016,"Terraza,TV",3.9,1.9,2.3,TRUE,FALSE,TRUE
99,978,"Chalet","Santiago del Estero",3,3,3,12185,"Estándar",2.5,2007,"Jacuzzi,Vista al mar,Acceso a playa,Estacionamiento,Calefacción,WiFi,TV",1.2,1,4.8,TRUE,FALSE,FALSE
100,257,"Cabaña","Tierra del Fuego",7,5,2,28549,"Premium",8.8,1983,"Seguridad 24hs,Jacuzzi,Terraza,Cocina equipada,Vista al mar",3,2.9,3.1,TRUE,FALSE,FALSE
101,715,"Chalet","Formosa",6,6,1,15475,"Estándar",10,1990,"Parrilla,Pileta,Cocina equipada,Estacionamiento,Lavadora,WiFi,Calefacción",3.8,2,2.6,TRUE,FALSE,TRUE
102,35,"Departamento","Neuquén",5,5,2,5614,"Económica",4.3,1978,"Estacionamiento,Lavadora,Acceso a playa,Calefacción,Pileta,Vista al mar,Cocina equipada",2.2,2.9,3.9,FALSE,FALSE,FALSE
103,882,"Loft","Buenos Aires",6,5,4,21878,"Premium",7.1,1983,"Pileta,Jacuzzi,Parrilla,Acceso a playa,Seguridad 24hs,Lavadora",3.4,3.1,2.7,TRUE,FALSE,FALSE
104,851,"Departamento","Neuquén",7,4,3,36410,"Lujo",14.3,2022,"Terraza,Aire acondicionado,TV,WiFi,Lavadora",3.5,5,4.3,TRUE,FALSE,FALSE
105,143,"Cabaña","Chubut",5,1,2,14827,"Estándar",3.2,1969,"Terraza,Calefacción",1.8,4.6,1.8,TRUE,TRUE,FALSE
106,346,"Casa","Buenos Aires",9,5,4,23516,"Premium",4.5,1981,"Aire acondicionado,Seguridad 24hs,Estacionamiento,Terraza",4.4,2.5,4.1,TRUE,FALSE,FALSE
107,453,"Chalet","La Pampa",12,4,2,5023,"Económica",2,1971,"Gimnasio,Acceso a playa,Cocina equipada,Parrilla,Jacuzzi,Pileta,Aire acondicionado",2.3,4.8,2.8,FALSE,FALSE,FALSE
108,643,"Cabaña","Tucumán",3,5,4,57041,"Ultra lujo",1.2,1977,"Cocina equipada,Acceso a playa,Lavadora,Calefacción",2.4,3.9,4.7,TRUE,FALSE,FALSE
109,513,"Cabaña","Tucumán",4,2,4,10536,"Económica",5.4,1987,"WiFi,Terraza,Aire acondicionado,Pileta,Acceso a playa",4.1,3.5,2.8,FALSE,FALSE,FALSE
110,605,"Cabaña","Misiones",7,5,2,7470,"Económica",12,2012,"Cocina equipada,Acceso a playa,Estacionamiento,Terraza,Calefacción,TV",3.9,1.3,3.7,TRUE,FALSE,FALSE
111,869,"Loft","Santa Cruz",10,5,4,11963,"Económica",11.5,1993,"TV,WiFi,Pileta,Calefacción,Gimnasio",4.6,4.7,3.3,TRUE,FALSE,TRUE
112,166,"Chalet","Misiones",4,6,2,28825,"Premium",11.4,1969,"Calefacción,Seguridad 24hs,Vista al mar,Jacuzzi,Gimnasio,Cocina equipada,Lavadora,Parrilla",1.2,2.9,1.8,FALSE,FALSE,FALSE
113,1,"Chalet","Córdoba",7,1,3,24408,"Premium",8,1993,"Gimnasio,Calefacción,Cocina equipada",4.8,3.2,4.4,TRUE,TRUE,FALSE
114,637,"Loft","Formosa",7,6,1,28694,"Premium",5.9,1953,"Estacionamiento,Lavadora",3.5,3,2.2,FALSE,FALSE,FALSE
115,614,"Departamento","Entre Ríos",12,3,2,39189,"Ultra lujo",0.1,1977,"Acceso a playa,Pileta,Lavadora,Parrilla",3.8,2.4,3.4,FALSE,FALSE,TRUE
116,394,"Loft","Río Negro",9,6,3,36683,"Lujo",14.6,2008,"Acceso a playa,Terraza,Pileta,Cocina equipada,Parrilla,Calefacción,Lavadora,Seguridad 24hs",4.8,1.7,1.4,FALSE,TRUE,FALSE
117,485,"Casa","Neuquén",11,6,4,24576,"Premium",12.5,1966,"Acceso a playa,Pileta,Vista al mar,TV,Aire acondicionado",2.2,4,4.1,FALSE,FALSE,FALSE
118,111,"Chalet","Buenos Aires",4,2,4,56060,"Ultra lujo",13.8,1992,"Vista al mar,WiFi,Pileta",3.1,3.9,1.1,FALSE,FALSE,FALSE
119,76,"Departamento","Entre Ríos",8,4,1,9271,"Económica",6.6,1952,"Cocina equipada,Pileta,Parrilla",1.7,2.3,1.3,TRUE,FALSE,FALSE
120,680,"Cabaña","La Pampa",6,1,4,12184,"Estándar",13.2,2016,"Terraza,Cocina equipada,Pileta,Calefacción,Lavadora,TV,Acceso a playa,Estacionamiento",4.7,4,3.3,FALSE,FALSE,FALSE
121,165,"Departamento","Neuquén",5,1,1,25717,"Premium",6.5,1965,"Terraza,Acceso a playa,Calefacción",4.4,4.8,3.1,FALSE,FALSE,FALSE
122,657,"Casa","Chaco",11,1,1,28363,"Premium",2.1,1999,"Cocina equipada,Calefacción,WiFi",1.8,2.4,1.7,TRUE,FALSE,FALSE
123,186,"Loft","Tucumán",3,1,3,29011,"Premium",9.9,1973,"Parrilla,Vista al mar,TV,Cocina equipada,Jacuzzi",3.6,3.5,2.4,FALSE,FALSE,FALSE
124,358,"Chalet","Santa Cruz",10,3,1,27606,"Premium",11.5,1986,"Aire acondicionado,Terraza,Gimnasio",3.5,3.2,1.2,FALSE,FALSE,TRUE
125,195,"Cabaña","Córdoba",4,3,3,23642,"Premium",2.8,2019,"Parrilla,Acceso a playa,Estacionamiento,Gimnasio,Vista al mar,TV,Calefacción,Lavadora",3.5,4.7,2.6,FALSE,FALSE,FALSE
126,339,"Cabaña","Salta",7,2,1,30720,"Lujo",7.1,1972,"Calefacción,Acceso a playa,Estacionamiento,Aire acondicionado,Lavadora,Vista al mar",4.1,4.4,4,FALSE,FALSE,FALSE
127,55,"Loft","Corrientes",3,3,4,34496,"Lujo",1.8,1983,"Jacuzzi,Seguridad 24hs,Estacionamiento,Calefacción,Acceso a playa,Pileta",3.7,4.6,1.8,FALSE,FALSE,FALSE
128,991,"Departamento","Santiago del Estero",5,4,3,7013,"Económica",12.8,2008,"Cocina equipada,Calefacción,WiFi,Gimnasio",1.7,2.5,3.4,TRUE,FALSE,FALSE
129,775,"Cabaña","San Juan",7,2,4,56182,"Ultra lujo",9.6,2011,"WiFi,Gimnasio,Aire acondicionado,Lavadora,Pileta",3.7,1.4,3.1,FALSE,FALSE,FALSE
130,777,"Casa","La Rioja",6,6,4,6756,"Económica",9.2,2015,"TV,WiFi,Acceso a playa",3.9,4.7,2.7,FALSE,FALSE,FALSE
131,236,"Chalet","Santa Fe",11,5,4,24250,"Premium",2.5,1973,"Jacuzzi,Calefacción,Acceso a playa",1.6,4.7,4.2,FALSE,FALSE,FALSE
132,31,"Loft","La Pampa",7,6,2,26265,"Premium",1.1,1999,"Aire acondicionado,Calefacción,Jacuzzi,Pileta,WiFi,Terraza",4.9,4.7,3.4,TRUE,FALSE,FALSE
133,919,"Loft","Neuquén",3,6,3,21310,"Premium",2.2,1952,"Vista al mar,Jacuzzi",5,2.6,1.8,TRUE,FALSE,FALSE
134,421,"Casa","San Juan",11,2,2,36029,"Lujo",5.3,1981,"Parrilla,WiFi,Seguridad 24hs",2.2,3.9,2.9,TRUE,FALSE,FALSE
135,590,"Casa","Catamarca",9,6,3,36678,"Lujo",4.3,2023,"Aire acondicionado,Lavadora",3.6,4.9,3.2,FALSE,FALSE,TRUE
136,772,"Cabaña","Santiago del Estero",2,5,4,45038,"Ultra lujo",1.4,1959,"Lavadora,TV,Vista al mar,Acceso a playa",2.4,3.2,2.3,TRUE,FALSE,FALSE
137,669,"Chalet","La Rioja",12,3,1,10890,"Económica",6.3,2009,"WiFi,Vista al mar,Parrilla,Estacionamiento,Jacuzzi",3.7,4.7,4.1,FALSE,FALSE,FALSE
138,566,"Loft","Buenos Aires",5,4,1,12767,"Estándar",3.4,2009,"Gimnasio,Vista al mar,Jacuzzi,Aire acondicionado,Calefacción,WiFi,Parrilla,Cocina equipada",2.9,4.7,4.9,TRUE,FALSE,FALSE
139,416,"Cabaña","Jujuy",8,1,4,44704,"Ultra lujo",7.3,2000,"Terraza,TV,Seguridad 24hs,Pileta",4.3,2.4,3.1,TRUE,FALSE,FALSE
